Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0019415133,0.0052856146,0.015436934
5.15,7.254765E-4,0.0033441011,0.012142554
5.25,5.458347E-4,0.0026186246,0.009525734
5.35,4.698324E-4,0.00207279,0.0074471207
5.45,3.247371E-4,0.0016029576,0.0057960195
5.55,2.141883E-4,0.0012782204,0.004484503
5.65,2.418255E-4,0.0010640322,0.0034427287
5.75,1.5200459E-4,8.2220667E-4,0.0026152176
5.85,1.105488E-4,6.702021E-4,0.0019579025
5.95,5.52744E-5,5.596533E-4,0.0014357783
6.05,8.2911596E-5,5.0437887E-4,0.0010210404
6.15,3.4546498E-5,4.214673E-4,7.4618147E-4
6.25,2.0727899E-5,3.869208E-4,5.7862327E-4
6.35,2.76372E-5,3.661929E-4,4.0491382E-4
6.45,2.76372E-5,3.385557E-4,3.7846182E-4
6.55,4.83651E-5,3.109185E-4,5.6817266E-6
6.65,4.83651E-5,2.625534E-4,3.48879E-6
6.75,6.21837E-5,2.141883E-4,3.48879E-6
6.85,4.83651E-5,1.5200459E-4,2.90309E-6
6.95,2.0727899E-5,1.036395E-4,2.5222414E-6
7.05,2.0727899E-5,8.2911596E-5,2.2100373E-6
7.15,1.38186E-5,6.21837E-5,1.9383792E-6
7.25,6.9093E-6,4.83651E-5,1.6388551E-6
7.35,6.9093E-6,4.1455798E-5,1.4317543E-6
7.45,1.38186E-5,3.4546498E-5,8.960426E-7
7.55,2.0727899E-5,2.0727899E-5,2.053198E-7
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
