Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0031644593,0.011199975,0.0048809317
5.15,0.002238613,0.008035515,0.0038939351
5.25,0.0018724203,0.005796903,0.003109936
5.35,0.0011331252,0.0039244825,0.0024871833
5.45,7.807509E-4,0.0027913572,0.0019925132
5.55,5.320161E-4,0.0020106062,0.0015995828
5.65,3.800115E-4,0.0014785902,0.0012874672
5.75,2.003697E-4,0.0010985787,0.0010395449
5.85,2.280069E-4,8.98209E-4,8.426132E-4
5.95,1.174581E-4,6.702021E-4,6.861848E-4
6.05,1.312767E-4,5.5274396E-4,6.183035E-4
6.15,5.52744E-5,4.214673E-4,5.6438346E-4
6.25,8.98209E-5,3.661929E-4,5.5641535E-4
6.35,6.9092996E-5,2.7637198E-4,3.791523E-4
6.45,3.4546498E-5,2.07279E-4,3.791523E-4
6.55,2.76372E-5,1.727325E-4,2.6893965E-4
6.65,3.4546498E-5,1.450953E-4,2.6734034E-4
6.75,1.38186E-5,1.105488E-4,1.7954849E-4
6.85,6.9093E-6,9.67302E-5,3.1294683E-5
6.95,2.0727899E-5,8.98209E-5,2.7002805E-5
7.05,3.4546498E-5,6.9092996E-5,1.9301842E-5
7.15,0.0,3.4546498E-5,1.0133934E-5
7.25,1.38186E-5,3.4546498E-5,0.0
7.35,0.0,2.0727899E-5,0.0
7.45,6.9093E-6,2.0727899E-5,0.0
7.55,0.0,1.38186E-5,0.0
7.65,6.9093E-6,1.38186E-5,0.0
7.75,0.0,6.9093E-6,0.0
7.85,6.9093E-6,6.9093E-6,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
