Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.004877966,0.013597502,0.007302307
5.15,0.0012091275,0.0087195365,0.005773837
5.25,0.0014302251,0.0075104088,0.00455973
5.35,0.0010571228,0.006080184,0.0035953305
5.45,7.945695E-4,0.005023061,0.0028292807
5.55,7.047486E-4,0.0042284913,0.002220786
5.65,5.5274396E-4,0.003523743,0.0017374412
5.75,5.251068E-4,0.0029709989,0.0013535068
5.85,3.592836E-4,0.0024458922,0.0010485369
5.95,1.934604E-4,0.0020866087,8.0629066E-4
6.05,1.450953E-4,0.0018931482,7.0931535E-4
6.15,1.934604E-4,0.0017480529,6.7495287E-4
6.25,1.3818599E-4,0.0015545925,6.504882E-4
6.35,9.67302E-5,0.0014164065,6.2470144E-4
6.45,7.6002296E-5,0.0013196763,5.950116E-4
6.55,9.67302E-5,0.001243674,5.633104E-4
6.65,9.67302E-5,0.0011469438,5.203517E-4
6.75,1.174581E-4,0.0010502136,4.307411E-4
6.85,1.105488E-4,9.327555E-4,3.498655E-4
6.95,1.5200459E-4,8.2220667E-4,2.8174874E-4
7.05,1.796418E-4,6.702021E-4,2.1913668E-4
7.15,1.589139E-4,4.905603E-4,1.7129784E-4
7.25,1.450953E-4,3.3164638E-4,1.6477573E-4
7.35,8.98209E-5,1.865511E-4,1.3498664E-4
7.45,5.52744E-5,9.67302E-5,1.1608019E-4
7.55,3.4546498E-5,4.1455798E-5,1.0001791E-4
7.65,6.9093E-6,6.9093E-6,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
