Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.06614273,0.21103075,0.02258473
5.15,0.02969617,0.14488801,0.018551815
5.25,0.026780447,0.11519185,0.015348356
5.35,0.021405011,0.0884114,0.0128037585
5.45,0.016395768,0.06700639,0.010782512
5.55,0.013742598,0.05061062,0.009176979
5.65,0.010674869,0.036868025,0.007901659
5.75,0.0071994904,0.026193157,0.0068886364
5.85,0.0049332404,0.018993665,0.006083964
5.95,0.0031644593,0.014060426,0.00544479
6.05,0.0021626109,0.010895966,0.005139434
6.15,0.0013680414,0.008733355,0.004716466
6.25,9.051183E-4,0.007365314,0.004621984
6.35,7.876602E-4,0.0064601954,0.004497491
6.45,8.083881E-4,0.0056725354,0.0043389057
6.55,7.945695E-4,0.004864147,0.0042453473
6.65,7.1165786E-4,0.0040695774,0.004146362
6.75,8.083881E-4,0.0033579199,0.004011138
6.85,6.978393E-4,0.0025495316,0.0038924352
6.95,6.0801837E-4,0.0018516923,0.003298221
7.05,2.7637198E-4,0.001243674,0.0029705279
7.15,1.934604E-4,9.67302E-4,0.0025114028
7.25,2.210976E-4,7.738416E-4,0.002062867
7.35,2.07279E-4,5.5274396E-4,0.0015458551
7.45,2.280069E-4,3.45465E-4,0.0012590825
7.55,1.036395E-4,1.174581E-4,9.576355E-4
7.65,6.9093E-6,1.38186E-5,5.092267E-4
7.75,6.9093E-6,6.9093E-6,2.576057E-5
7.85,0.0,0.0,2.3299248E-5
7.95,0.0,0.0,2.0363144E-5
8.05,0.0,0.0,1.6283075E-5
8.15,0.0,0.0,9.196594E-6
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
