Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.02299415,0.077902354,0.011184953
5.15,0.016126307,0.054908205,0.009225672
5.25,0.010667959,0.0387819,0.00766936
5.35,0.008360253,0.02811394,0.0064331368
5.45,0.00582454,0.019753689,0.0054511703
5.55,0.0041732173,0.013929148,0.004671166
5.65,0.0028880874,0.009755932,0.004051587
5.75,0.001934604,0.006867844,0.003559438
5.85,0.0012229461,0.0049332404,0.00316851
5.95,7.323858E-4,0.0037102941,0.002857985
6.05,5.596533E-4,0.0029779084,0.002611326
6.15,5.181975E-4,0.002418255,0.002528219
6.25,3.731022E-4,0.0019000574,0.002243937
6.35,2.487348E-4,0.0015269553,0.0022419407
6.45,1.589139E-4,0.0012782204,0.0018469378
6.55,1.450953E-4,0.0011193065,0.001846936
6.65,1.105488E-4,9.7421126E-4,0.0016562323
6.75,7.6002296E-5,8.636625E-4,0.001608465
6.85,1.312767E-4,7.876602E-4,0.0014126288
6.95,8.2911596E-5,6.5638346E-4,0.0012496801
7.05,4.83651E-5,5.734719E-4,0.0010810951
7.15,8.98209E-5,5.251068E-4,8.4152294E-4
7.25,6.9092996E-5,4.3528588E-4,7.7472406E-4
7.35,1.105488E-4,3.661929E-4,7.288645E-4
7.45,1.934604E-4,2.556441E-4,6.75391E-4
7.55,6.21837E-5,6.21837E-5,6.0298434E-4
7.65,0.0,0.0,1.2436116E-4
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
