Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.021888662,0.054134365,0.01078147
5.15,0.0077798716,0.032245703,0.008793477
5.25,0.0067849327,0.024465831,0.007214358
5.35,0.0046015936,0.017680898,0.0059600193
5.45,0.0034961058,0.013079304,0.004963663
5.55,0.002418255,0.009583199,0.0041722287
5.65,0.0016375041,0.007164944,0.0035435702
5.75,0.0012160367,0.00552744,0.003044209
5.85,7.60023E-4,0.0043114033,0.0026475524
5.95,7.047486E-4,0.0035513802,0.0023324767
6.05,4.698324E-4,0.0028466315,0.0022180136
6.15,3.3164638E-4,0.0023767992,0.0018927634
6.25,2.970999E-4,0.0020451527,0.0018810944
6.35,2.625534E-4,0.0017480529,0.0016641406
6.45,2.003697E-4,0.0014854994,0.0016593373
6.55,1.3818599E-4,0.0012851298,0.0015963438
6.65,1.105488E-4,0.0011469438,0.0015138952
6.75,9.67302E-5,0.001036395,0.0014319757
6.85,5.52744E-5,9.396648E-4,0.0012927126
6.95,9.67302E-5,8.843904E-4,0.0011996101
7.05,1.036395E-4,7.876602E-4,0.0010346669
7.15,1.5200459E-4,6.840207E-4,9.6795085E-4
7.25,1.450953E-4,5.320161E-4,8.926861E-4
7.35,1.6582319E-4,3.869208E-4,7.5715943E-4
7.45,1.589139E-4,2.210976E-4,5.9649977E-4
7.55,1.38186E-5,6.21837E-5,5.1673193E-4
7.65,6.9093E-6,4.83651E-5,2.2256369E-4
7.75,2.0727899E-5,4.1455798E-5,2.3655271E-5
7.85,1.38186E-5,2.0727899E-5,1.8494985E-6
7.95,0.0,6.9093E-6,0.0
8.05,0.0,6.9093E-6,0.0
8.15,6.9093E-6,6.9093E-6,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
