Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,2.76372E-5,1.174581E-4,0.0064057447
5.15,0.0,8.98209E-5,0.0050776317
5.25,1.38186E-5,8.98209E-5,0.0040226737
5.35,6.9093E-6,7.6002296E-5,0.0031846908
5.45,0.0,6.9092996E-5,0.0025190574
5.55,0.0,6.9092996E-5,0.001990326
5.65,0.0,6.9092996E-5,0.0015703395
5.75,0.0,6.9092996E-5,0.0012367326
5.85,0.0,6.9092996E-5,9.717392E-4
5.95,0.0,6.9092996E-5,7.612474E-4
6.05,0.0,6.9092996E-5,5.9404783E-4
6.15,0.0,6.9092996E-5,4.612365E-4
6.25,0.0,6.9092996E-5,4.1145502E-4
6.35,0.0,6.9092996E-5,3.7217216E-4
6.45,0.0,6.9092996E-5,2.5092324E-4
6.55,0.0,6.9092996E-5,2.4849887E-4
6.65,0.0,6.9092996E-5,1.2980711E-4
6.75,0.0,6.9092996E-5,9.333692E-5
6.85,0.0,6.9092996E-5,0.0
6.95,0.0,6.9092996E-5,0.0
7.05,0.0,6.9092996E-5,0.0
7.15,6.21837E-5,6.9092996E-5,0.0
7.25,0.0,6.9093E-6,0.0
7.35,6.9093E-6,6.9093E-6,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
