Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0,0.0,0.0100847045
5.15,0.0,0.0,0.007935451
5.25,0.0,0.0,0.006228238
5.35,0.0,0.0,0.0048721507
5.45,0.0,0.0,0.0037949723
5.55,0.0,0.0,0.002939339
5.65,0.0,0.0,0.0022596854
5.75,0.0,0.0,0.0017198174
5.85,0.0,0.0,0.0012909849
5.95,0.0,0.0,9.503511E-4
6.05,0.0,0.0,6.7977613E-4
6.15,0.0,0.0,4.648508E-4
6.25,0.0,0.0,3.032011E-4
6.35,0.0,0.0,2.489576E-4
6.45,0.0,0.0,2.0968633E-4
6.55,0.0,0.0,1.3241736E-4
6.65,0.0,0.0,1.0287152E-4
6.75,0.0,0.0,9.99653E-5
6.85,0.0,0.0,8.534971E-5
6.95,0.0,0.0,6.918855E-5
7.05,0.0,0.0,6.058486E-5
7.15,0.0,0.0,5.018167E-5
7.25,0.0,0.0,3.704446E-5
7.35,0.0,0.0,2.6169544E-5
7.45,0.0,0.0,1.7185217E-5
7.55,0.0,0.0,9.199693E-6
7.65,0.0,0.0,1.531443E-6
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
