Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.072775654,0.20627715,0.060283322
5.15,0.032611895,0.1335015,0.047832288
5.25,0.027782295,0.1008896,0.037942078
5.35,0.020907542,0.0731073,0.030086007
5.45,0.015843024,0.052199762,0.023845706
5.55,0.011683626,0.036356736,0.01888886
5.65,0.00838789,0.02467311,0.014951496
5.75,0.00532707,0.01628522,0.011823937
5.85,0.0031920965,0.01095815,0.00933963
5.95,0.0019415133,0.007766053,0.007366273
6.05,0.0014164065,0.00582454,0.0064271674
6.15,0.0010294857,0.004408133,0.005681474
6.25,7.531137E-4,0.0033786476,0.002526272
6.35,6.5638346E-4,0.0026255338,0.0024036292
6.45,3.247371E-4,0.0019691505,0.002186779
6.55,2.625534E-4,0.0016444133,0.001849314
6.65,3.109185E-4,0.00138186,0.0015594367
6.75,2.210976E-4,0.0010709414,0.0014577508
6.85,2.003697E-4,8.498439E-4,0.0012364174
6.95,1.865511E-4,6.494742E-4,0.0010554836
7.05,8.2911596E-5,4.6292308E-4,9.4279315E-4
7.15,1.450953E-4,3.800115E-4,6.049075E-4
7.25,1.036395E-4,2.349162E-4,9.72067E-5
7.35,3.4546498E-5,1.312767E-4,3.8483606E-5
7.45,7.6002296E-5,9.67302E-5,0.0
7.55,2.0727899E-5,2.0727899E-5,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
