Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,7.254765E-4,0.002024425,0.013251484
5.15,2.141883E-4,0.0012989484,0.010369461
5.25,3.661929E-4,0.0010847601,0.008080189
5.35,1.796418E-4,7.185672E-4,0.0062617557
5.45,1.243674E-4,5.389254E-4,0.004817323
5.55,7.6002296E-5,4.14558E-4,0.0036699688
5.65,9.67302E-5,3.385557E-4,0.002758593
5.75,3.4546498E-5,2.418255E-4,0.0020346616
5.85,4.1455798E-5,2.07279E-4,0.0014596225
5.95,6.9093E-6,1.6582319E-4,0.0010028527
6.05,3.4546498E-5,1.589139E-4,6.400283E-4
6.15,6.9093E-6,1.243674E-4,3.5182663E-4
6.25,1.38186E-5,1.174581E-4,1.3719613E-4
6.35,2.0727899E-5,1.036395E-4,6.445895E-5
6.45,6.9093E-6,8.2911596E-5,8.974392E-6
6.55,0.0,7.6002296E-5,8.974392E-6
6.65,0.0,7.6002296E-5,6.5940967E-6
6.75,6.9093E-6,7.6002296E-5,6.5295862E-6
6.85,0.0,6.9092996E-5,6.135821E-6
6.95,0.0,6.9092996E-5,5.967289E-6
7.05,0.0,6.9092996E-5,5.8001847E-6
7.15,6.9093E-6,6.9092996E-5,4.3555797E-6
7.25,6.9093E-6,6.21837E-5,3.1112577E-6
7.35,4.1455798E-5,5.52744E-5,2.4120743E-6
7.45,6.9093E-6,1.38186E-5,1.9093432E-6
7.55,6.9093E-6,6.9093E-6,8.68061E-7
7.65,0.0,0.0,5.035427E-8
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
