Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0048917844,0.01430916,0.02040893
5.15,0.0020175155,0.009417376,0.016249154
5.25,0.0017618715,0.0073998603,0.012944926
5.35,0.0013058577,0.005637989,0.010320284
5.45,7.876602E-4,0.0043321312,0.008235457
5.55,7.462044E-4,0.0035444708,0.00657942
5.65,8.360253E-4,0.0027982665,0.0052639833
5.75,4.974696E-4,0.0019622413,0.0042190948
5.85,2.970999E-4,0.0014647716,0.00338911
5.95,1.589139E-4,0.0011676716,0.0027298299
6.05,1.174581E-4,0.0010087577,0.0022061488
6.15,8.2911596E-5,8.912997E-4,0.0018211432
6.25,6.9092996E-5,8.083881E-4,0.0015628404
6.35,9.67302E-5,7.392951E-4,0.0014275459
6.45,1.105488E-4,6.425649E-4,3.2079066E-4
6.55,1.105488E-4,5.320161E-4,2.8149676E-4
6.65,6.9092996E-5,4.214673E-4,2.53074E-4
6.75,1.312767E-4,3.523743E-4,9.8463446E-5
6.85,1.450953E-4,2.210976E-4,8.7889115E-5
6.95,2.76372E-5,7.6002296E-5,8.0805934E-5
7.05,6.9093E-6,4.83651E-5,7.953361E-5
7.15,1.38186E-5,4.1455798E-5,7.7054545E-5
7.25,6.9093E-6,2.76372E-5,6.062511E-5
7.35,2.0727899E-5,2.0727899E-5,4.6206707E-5
7.45,0.0,0.0,3.3561115E-5
7.55,0.0,0.0,1.0776913E-5
7.65,0.0,0.0,4.4666936E-6
7.75,0.0,0.0,3.0349208E-6
7.85,0.0,0.0,2.9209714E-6
7.95,0.0,0.0,4.5245847E-7
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
