Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.006197642,0.014440437,0.016214857
5.15,0.001589139,0.008242795,0.012868891
5.25,0.0017687808,0.006653656,0.010211095
5.35,0.0011953089,0.004884875,0.008099933
5.45,9.603927E-4,0.0036895662,0.0064229774
5.55,8.1529736E-4,0.0027291735,0.0050909244
5.65,5.734719E-4,0.001913876,0.0040328368
5.75,4.007394E-4,0.0013404042,0.0031923682
5.85,1.3818599E-4,9.396648E-4,0.00252476
5.95,1.105488E-4,8.014788E-4,0.0019944601
6.05,8.2911596E-5,6.9093E-4,0.0016214213
6.15,4.1455798E-5,6.0801837E-4,0.0014215569
6.25,5.52744E-5,5.665626E-4,0.0012745427
6.35,5.52744E-5,5.112882E-4,0.0012202178
6.45,4.1455798E-5,4.560138E-4,0.0011945367
6.55,1.38186E-5,4.14558E-4,6.838653E-4
6.65,3.4546498E-5,4.007394E-4,3.6422865E-4
6.75,6.9093E-6,3.661929E-4,3.6350347E-4
6.85,5.52744E-5,3.592836E-4,2.3888322E-4
6.95,4.83651E-5,3.0400918E-4,2.0253517E-4
7.05,4.1455798E-5,2.556441E-4,1.671287E-4
7.15,3.4546498E-5,2.141883E-4,1.3251028E-4
7.25,3.4546498E-5,1.796418E-4,1.1477267E-4
7.35,4.1455798E-5,1.450953E-4,9.18057E-5
7.45,5.52744E-5,1.036395E-4,8.413568E-5
7.55,1.38186E-5,4.83651E-5,6.219613E-5
7.65,6.9093E-6,3.4546498E-5,5.4951728E-5
7.75,6.9093E-6,2.76372E-5,4.18662E-5
7.85,0.0,2.0727899E-5,2.9808709E-5
7.95,6.9093E-6,2.0727899E-5,2.3826615E-5
8.05,1.38186E-5,1.38186E-5,1.02290005E-5
8.15,0.0,0.0,6.4147184E-6
8.25,0.0,0.0,1.5002314E-9
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
