Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.017604897,0.04817855,0.005316179
5.15,0.009424285,0.030573651,0.0044693244
5.25,0.0067711137,0.021149367,0.003796644
5.35,0.0043666777,0.014378253,0.003262315
5.45,0.0031160943,0.010011575,0.0028378824
5.55,0.002024425,0.006895481,0.0025007436
5.65,0.0012229461,0.0048710564,0.0022329446
5.75,8.7057176E-4,0.0036481104,0.0020202245
5.85,5.181975E-4,0.0027775385,0.0018512548
5.95,4.007394E-4,0.002259341,0.0017170374
6.05,2.418255E-4,0.0018586017,0.0016104395
6.15,2.418255E-4,0.0016167762,0.0015487769
6.25,2.210976E-4,0.0013749506,0.0015165046
6.35,1.796418E-4,0.0011538531,0.0014993128
6.45,1.5200459E-4,9.7421126E-4,6.136148E-4
6.55,1.6582319E-4,8.2220667E-4,6.11821E-4
6.65,1.865511E-4,6.5638346E-4,5.9848157E-4
6.75,1.312767E-4,4.698324E-4,5.7846174E-4
6.85,7.6002296E-5,3.385557E-4,5.376155E-4
6.95,6.9092996E-5,2.625534E-4,5.026897E-4
7.05,4.83651E-5,1.934604E-4,3.9746345E-4
7.15,4.1455798E-5,1.450953E-4,3.1635363E-4
7.25,2.0727899E-5,1.036395E-4,1.6735715E-4
7.35,1.38186E-5,8.2911596E-5,9.972957E-5
7.45,1.38186E-5,6.9092996E-5,1.7598064E-5
7.55,2.76372E-5,5.52744E-5,1.0095233E-5
7.65,2.0727899E-5,2.76372E-5,2.155737E-6
7.75,6.9093E-6,6.9093E-6,1.4348032E-6
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
