Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.008857722,0.03591454,0.01319335
5.15,0.0039521195,0.027056819,0.010418757
5.25,0.00345465,0.0231047,0.008214819
5.35,0.003067729,0.01965005,0.0064641694
5.45,0.0027153548,0.01658232,0.0050735786
5.55,0.002508076,0.013866965,0.003968993
5.65,0.0020796992,0.011358889,0.0030915895
5.75,0.0015338645,0.00927919,0.0023946431
5.85,0.0013196763,0.007745325,0.001841039
5.95,0.0010847601,0.006425649,0.0014012955
6.05,7.6693227E-4,0.0053408886,0.0010519994
6.15,5.734719E-4,0.0045739566,7.841834E-4
6.25,5.665626E-4,0.0040004845,5.9761194E-4
6.35,5.941998E-4,0.003433922,4.788262E-4
6.45,6.149277E-4,0.0028397222,3.9359226E-4
6.55,4.560138E-4,0.0022247946,3.534769E-4
6.65,3.938301E-4,0.0017687808,3.2560262E-4
6.75,3.0400918E-4,0.0013749506,3.0713712E-4
6.85,3.592836E-4,0.0010709414,3.0126932E-4
6.95,2.556441E-4,7.1165786E-4,2.965153E-4
7.05,1.6582319E-4,4.560138E-4,2.6776685E-4
7.15,1.243674E-4,2.901906E-4,2.6494867E-4
7.25,1.036395E-4,1.6582319E-4,2.5500866E-4
7.35,5.52744E-5,6.21837E-5,2.3384522E-4
7.45,0.0,6.9093E-6,2.105353E-4
7.55,6.9093E-6,6.9093E-6,1.663987E-4
7.65,0.0,0.0,1.2979537E-4
7.75,0.0,0.0,1.0804588E-4
7.85,0.0,0.0,5.5642347E-5
7.95,0.0,0.0,2.5601825E-5
8.05,0.0,0.0,3.599812E-6
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
