Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.04944986,0.13453098,0.011370369
5.15,0.02249668,0.085081115,0.009229662
5.25,0.017784538,0.06258444,0.0075292387
5.35,0.01312767,0.0447999,0.006178544
5.45,0.010032304,0.03167223,0.0051056487
5.55,0.0068609347,0.021639926,0.004253418
5.65,0.004746689,0.014778992,0.0035764673
5.75,0.002922634,0.010032304,0.003038746
5.85,0.0020175155,0.0071096695,0.0026116187
5.95,0.0013473135,0.0050921543,0.0022723395
6.05,7.60023E-4,0.0037448406,0.0020028406
6.15,6.011091E-4,0.0029848176,0.001809652
6.25,3.938301E-4,0.0023837085,0.0016639517
6.35,3.109185E-4,0.0019898785,0.0015620424
6.45,2.141883E-4,0.0016789599,0.0014864823
6.55,2.418255E-4,0.0014647716,0.00145098
6.65,1.5200459E-4,0.0012229461,0.0014274626
6.75,1.450953E-4,0.0010709414,0.0013762774
6.85,2.349162E-4,9.2584617E-4,0.0013406011
6.95,1.3818599E-4,6.9093E-4,0.0011338971
7.05,2.210976E-4,5.5274396E-4,0.0010606733
7.15,9.67302E-5,3.3164638E-4,0.0010383395
7.25,1.243674E-4,2.349162E-4,0.001015928
7.35,7.6002296E-5,1.105488E-4,9.701381E-4
7.45,1.38186E-5,3.4546498E-5,9.062827E-4
7.55,2.0727899E-5,2.0727899E-5,6.0129643E-4
7.65,0.0,0.0,2.65468E-4
7.75,0.0,0.0,1.4301336E-4
7.85,0.0,0.0,7.740568E-5
7.95,0.0,0.0,8.5064785E-6
8.05,0.0,0.0,4.010157E-7
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
