Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.023546893,0.0692381,0.0065633357
5.15,0.012367647,0.0456912,0.005265677
5.25,0.0095002875,0.033323552,0.00423491
5.35,0.006757295,0.023823267,0.0034161424
5.45,0.0049125124,0.01706597,0.0027657724
5.55,0.0032335524,0.012153459,0.0022491652
5.65,0.002259341,0.008919906,0.0018388093
5.75,0.0016651413,0.0066605653,0.0015128523
5.85,0.0010847601,0.004995424,0.0012539353
5.95,8.498439E-4,0.0039106635,0.0010482701
6.05,5.872905E-4,0.0030608198,9.3666255E-4
6.15,5.112882E-4,0.0024735294,8.709473E-4
6.25,3.869208E-4,0.0019622413,8.188706E-4
6.35,2.901906E-4,0.0015753204,7.7750464E-4
6.45,2.556441E-4,0.0012851298,7.622301E-4
6.55,2.003697E-4,0.0010294857,7.5009704E-4
6.65,1.450953E-4,8.29116E-4,4.9008126E-4
6.75,1.105488E-4,6.840207E-4,4.6385662E-4
6.85,9.67302E-5,5.734719E-4,3.9353097E-4
6.95,6.21837E-5,4.767417E-4,3.869313E-4
7.05,9.67302E-5,4.14558E-4,3.2563083E-4
7.15,8.2911596E-5,3.178278E-4,2.9366722E-4
7.25,5.52744E-5,2.349162E-4,2.2703712E-4
7.35,1.036395E-4,1.796418E-4,1.9232715E-4
7.45,2.0727899E-5,7.6002296E-5,1.4039171E-4
7.55,2.76372E-5,5.52744E-5,9.1379334E-5
7.65,1.38186E-5,2.76372E-5,5.6408473E-5
7.75,1.38186E-5,1.38186E-5,2.2631259E-5
7.85,0.0,0.0,3.9259817E-8
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
