Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.008933725,0.023056334,0.0031497278
5.15,0.0031713687,0.014122609,0.002479309
5.25,0.002694627,0.010951241,0.0019467765
5.35,0.0019691505,0.008256613,0.0015237709
5.45,0.0014164065,0.006287463,0.0011877655
5.55,0.0011193065,0.0048710564,9.2086697E-4
5.65,8.636625E-4,0.0037517499,7.088619E-4
5.75,4.905603E-4,0.0028880874,5.4046034E-4
5.85,4.14558E-4,0.002397527,4.066942E-4
5.95,2.556441E-4,0.001982969,3.0043998E-4
6.05,2.418255E-4,0.001727325,2.1718202E-4
6.15,1.312767E-4,0.0014854994,1.563201E-4
6.25,1.727325E-4,0.0013542228,1.0838282E-4
6.35,1.174581E-4,0.0011814903,7.03681E-5
6.45,8.98209E-5,0.0010640322,4.21018E-5
6.55,6.21837E-5,9.7421126E-4,1.9675677E-5
6.65,3.4546498E-5,9.120276E-4,1.0935818E-5
6.75,4.83651E-5,8.7748107E-4,5.1966076E-6
6.85,6.21837E-5,8.29116E-4,3.9314336E-6
6.95,8.2911596E-5,7.6693227E-4,3.656443E-6
7.05,7.6002296E-5,6.840207E-4,3.5472221E-6
7.15,7.6002296E-5,6.0801837E-4,3.3698354E-6
7.25,6.21837E-5,5.320161E-4,3.27871E-6
7.35,8.98209E-5,4.698324E-4,2.7561161E-6
7.45,6.21837E-5,3.800115E-4,2.3157938E-6
7.55,1.6582319E-4,3.178278E-4,1.5929241E-6
7.65,1.243674E-4,1.5200459E-4,1.076079E-6
7.75,2.0727899E-5,2.76372E-5,3.9019525E-7
7.85,6.9093E-6,6.9093E-6,4.384228E-8
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
