Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.031347495,0.121534586,0.015600994
5.15,0.013666595,0.090187095,0.012084064
5.25,0.012174186,0.076520495,0.009290467
5.35,0.0095002875,0.06434631,0.007071434
5.45,0.008014788,0.054846022,0.005308794
5.55,0.0067227487,0.046831235,0.003908679
5.65,0.0054998025,0.040108487,0.002796528
5.75,0.004926331,0.034608684,0.001913115
5.85,0.004028122,0.029682353,0.0012113951
5.95,0.0031506408,0.02565423,6.5399933E-4
6.05,0.002653171,0.02250359,2.757592E-4
6.15,0.0021833389,0.019850418,1.5480311E-4
6.25,0.0019069668,0.01766708,5.8103695E-5
6.35,0.0017342343,0.015760113,1.5209441E-5
6.45,0.0015062274,0.014025879,9.26457E-6
6.55,0.0013334949,0.012519651,9.010179E-6
6.65,0.0011953089,0.011186156,8.682962E-6
6.75,0.0013127669,0.009990848,8.492111E-6
6.85,0.0014025879,0.0086780805,8.188064E-6
6.95,0.0014854994,0.007275493,7.825138E-6
7.05,0.0011331252,0.0057899933,7.443384E-6
7.15,0.0011814903,0.004656868,7.0324795E-6
7.25,0.001036395,0.0034753778,6.6317552E-6
7.35,8.1529736E-4,0.002438983,6.2048985E-6
7.45,4.421952E-4,0.0016236855,5.8255E-6
7.55,1.105488E-4,0.0011814903,5.3096896E-6
7.65,3.4546498E-5,0.0010709414,4.969733E-6
7.75,2.0727899E-5,0.001036395,4.669462E-6
7.85,5.52744E-5,0.0010156671,4.2800125E-6
7.95,4.3528588E-4,9.603927E-4,3.377104E-6
8.05,4.421952E-4,5.251068E-4,2.943609E-6
8.15,8.2911596E-5,8.2911596E-5,2.4149958E-6
8.25,0.0,0.0,1.2467118E-8
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
