Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0047397795,0.014861904,0.0073394785
5.15,0.0019415133,0.010122124,0.0057508093
5.25,0.0017756901,0.008180611,0.0044888845
5.35,0.001450953,0.006404921,0.0034865022
5.45,0.0012713112,0.004953968,0.0026902815
5.55,8.7057176E-4,0.003682657,0.002057821
5.65,7.047486E-4,0.002812085,0.0015554397
5.75,5.458347E-4,0.0021073364,0.001156384
5.85,3.661929E-4,0.0015615018,8.3940284E-4
5.95,3.178278E-4,0.0011953089,5.8761577E-4
6.05,1.312767E-4,8.7748107E-4,4.1220605E-4
6.15,1.036395E-4,7.462044E-4,2.7802715E-4
6.25,1.243674E-4,6.425649E-4,1.7978012E-4
6.35,1.243674E-4,5.181975E-4,1.1163047E-4
6.45,1.036395E-4,3.938301E-4,6.239214E-5
6.55,9.67302E-5,2.901906E-4,2.7776941E-5
6.65,5.52744E-5,1.934604E-4,1.6793661E-5
6.75,2.0727899E-5,1.3818599E-4,7.5150056E-6
6.85,6.9093E-6,1.174581E-4,7.3751494E-6
6.95,2.0727899E-5,1.105488E-4,6.9138678E-6
7.05,2.0727899E-5,8.98209E-5,6.6428133E-6
7.15,4.1455798E-5,6.9092996E-5,6.371693E-6
7.25,6.9093E-6,2.76372E-5,6.1412948E-6
7.35,6.9093E-6,2.0727899E-5,5.1885777E-6
7.45,0.0,1.38186E-5,4.3649065E-6
7.55,0.0,1.38186E-5,3.270472E-6
7.65,0.0,1.38186E-5,2.046706E-6
7.75,0.0,1.38186E-5,8.278506E-7
7.85,1.38186E-5,1.38186E-5,3.253888E-7
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
