Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.056801353,0.17668462,0.0027416747
5.15,0.03869208,0.11988326,0.002263256
5.25,0.025716415,0.08119118,0.0018832346
5.35,0.017528893,0.05547477,0.0015813729
5.45,0.011566168,0.037945874,0.0013415957
5.55,0.007717688,0.026379706,0.0011511338
5.65,0.005555077,0.018662019,9.998446E-4
5.75,0.0036273825,0.013106942,8.7967125E-4
5.85,0.002694627,0.009479559,7.8421424E-4
5.95,0.0016927784,0.0067849327,7.0838997E-4
6.05,0.0012160367,0.0050921543,6.55363E-4
6.15,9.396648E-4,0.0038761173,6.158393E-4
6.25,7.392951E-4,0.0029364524,5.844445E-4
6.35,4.491045E-4,0.0021971574,5.628021E-4
6.45,4.007394E-4,0.0017480529,5.4561085E-4
6.55,2.003697E-4,0.0013473135,5.3229893E-4
6.65,1.934604E-4,0.0011469438,5.2356155E-4
6.75,1.105488E-4,9.534834E-4,5.1662145E-4
6.85,1.5200459E-4,8.429346E-4,5.140216E-4
6.95,1.312767E-4,6.9093E-4,5.119565E-4
7.05,1.312767E-4,5.596533E-4,5.0857285E-4
7.15,7.6002296E-5,4.283766E-4,4.928712E-4
7.25,5.52744E-5,3.523743E-4,4.8963266E-4
7.35,6.21837E-5,2.970999E-4,4.7780562E-4
7.45,8.2911596E-5,2.349162E-4,4.4435935E-4
7.55,9.67302E-5,1.5200459E-4,4.2228508E-4
7.65,2.76372E-5,5.52744E-5,3.3533797E-4
7.75,2.0727899E-5,2.76372E-5,2.5009664E-4
7.85,6.9093E-6,6.9093E-6,1.244075E-4
7.95,0.0,0.0,1.372888E-5
8.05,0.0,0.0,1.7977221E-7
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
