Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0014302251,0.00769696,0.003033421
5.15,0.0010294857,0.006266735,0.0024108521
5.25,7.047486E-4,0.005237249,0.0019163281
5.35,6.494742E-4,0.0045325006,0.0015235137
5.45,4.421952E-4,0.0038830265,0.0012114901
5.55,2.970999E-4,0.0034408313,9.6364104E-4
5.65,1.934604E-4,0.0031437315,7.667675E-4
5.75,2.141883E-4,0.0029502711,6.103852E-4
5.85,6.9092996E-5,0.0027360828,4.8616642E-4
5.95,9.67302E-5,0.0026669898,3.874959E-4
6.05,4.1455798E-5,0.0025702596,3.5530774E-4
6.15,6.21837E-5,0.0025288037,1.6844692E-4
6.25,5.52744E-5,0.0024666202,1.6809464E-4
6.35,9.67302E-5,0.0024113457,1.0267773E-4
6.45,4.83651E-5,0.0023146155,1.0267773E-4
6.55,2.0727899E-5,0.0022662503,7.369223E-5
6.65,6.9093E-6,0.0022455226,5.6290977E-5
6.75,1.38186E-5,0.002238613,3.3754124E-5
6.85,0.0,0.0022247946,2.7177768E-5
6.95,0.0,0.0022247946,1.8604573E-5
7.05,0.0,0.0022247946,1.3271455E-5
7.15,0.0,0.0022247946,9.996385E-6
7.25,0.0,0.0022247946,8.530007E-6
7.35,0.0,0.0022247946,7.759755E-6
7.45,0.0,0.0022247946,6.964284E-6
7.55,0.0,0.0022247946,6.2989043E-6
7.65,0.0,0.0022247946,4.963262E-6
7.75,6.9093E-6,0.0022247946,3.7043014E-6
7.85,1.450953E-4,0.0022178853,2.0037844E-6
7.95,0.0012160367,0.00207279,7.4069214E-7
8.05,7.392951E-4,8.567532E-4,3.3732383E-7
8.15,1.174581E-4,1.174581E-4,1.3345453E-7
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
