Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.007579502,0.026573168,0.026895285
5.15,0.0030539106,0.018993665,0.021791227
5.25,0.0029364524,0.015939755,0.017736932
5.35,0.0026600806,0.013003303,0.0145164905
5.45,0.0019276947,0.010343222,0.0119584035
5.55,0.0014716808,0.008415528,0.009926442
5.65,0.0010087577,0.0069438466,0.008312398
5.75,8.636625E-4,0.0059350887,0.007030317
5.85,5.734719E-4,0.0050714263,0.006011924
5.95,4.560138E-4,0.004497954,0.005202986
6.05,2.901906E-4,0.0040419404,0.004560423
6.15,2.625534E-4,0.0037517499,0.0040500173
6.25,2.418255E-4,0.0034891965,0.003655185
6.35,1.174581E-4,0.003247371,0.0035262771
6.45,7.6002296E-5,0.0031299128,0.0034250624
6.55,6.9092996E-5,0.0030539106,0.0030418346
6.65,4.83651E-5,0.0029848176,0.0030418346
6.75,9.67302E-5,0.0029364524,0.002986255
6.85,8.2911596E-5,0.0028397222,0.0029758431
6.95,6.9092996E-5,0.0027568107,0.0029399046
7.05,4.83651E-5,0.0026877176,0.0028264178
7.15,1.105488E-4,0.0026393526,0.0026386022
7.25,1.727325E-4,0.0025288037,0.0024466151
7.35,3.661929E-4,0.0023560713,0.0021867016
7.45,5.665626E-4,0.0019898785,0.002086107
7.55,6.494742E-4,0.0014233157,0.0019439915
7.65,4.14558E-4,7.738416E-4,0.0017821882
7.75,2.487348E-4,3.592836E-4,0.0016798389
7.85,9.67302E-5,1.105488E-4,0.0015819316
7.95,6.9093E-6,1.38186E-5,0.001365232
8.05,0.0,6.9093E-6,0.0012068754
8.15,6.9093E-6,6.9093E-6,8.449637E-4
8.25,0.0,0.0,4.6824254E-4
8.35,0.0,0.0,1.9640489E-4
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
