Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0017204157,0.007164944,0.01554356
5.15,6.0801837E-4,0.0054445285,0.012606074
5.25,4.007394E-4,0.00483651,0.010272746
5.35,3.800115E-4,0.0044357707,0.008419318
5.45,2.003697E-4,0.004055759,0.006947088
5.55,1.5200459E-4,0.0038553893,0.005777654
5.65,1.5200459E-4,0.0037033847,0.0048487396
5.75,8.2911596E-5,0.0035513802,0.0041108765
5.85,6.9093E-6,0.0034684686,0.0035247712
5.95,2.0727899E-5,0.0034615593,0.003059211
6.05,0.0,0.0034408313,0.0026894035
6.15,6.9093E-6,0.0034408313,0.002405243
6.25,0.0,0.003433922,0.002287289
6.35,6.9093E-6,0.003433922,0.0022116269
6.45,1.38186E-5,0.0034270128,0.0021595524
6.55,0.0,0.003413194,0.0021513258
6.65,0.0,0.003413194,0.002147464
6.75,2.76372E-5,0.003413194,0.0021463402
6.85,6.21837E-5,0.0033855569,0.002145137
6.95,7.6002296E-5,0.0033233732,0.0021433993
7.05,1.934604E-4,0.003247371,0.002141104
7.15,1.865511E-4,0.0030539106,0.0021400503
7.25,3.178278E-4,0.0028673594,0.0021380864
7.35,5.320161E-4,0.0025495316,0.0021175786
7.45,5.872905E-4,0.0020175155,0.002099829
7.55,6.494742E-4,0.0014302251,0.0019867609
7.65,4.14558E-4,7.807509E-4,0.0018648634
7.75,2.487348E-4,3.661929E-4,0.0017618267
7.85,1.036395E-4,1.174581E-4,0.00166015
7.95,6.9093E-6,1.38186E-5,0.0014345228
8.05,0.0,6.9093E-6,0.0012283901
8.15,6.9093E-6,6.9093E-6,8.514208E-4
8.25,0.0,0.0,4.7052343E-4
8.35,0.0,0.0,1.9640489E-4
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
