Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0036204732,0.012492014,0.004075514
5.15,0.00207279,0.008871541,0.0032193833
5.25,0.001658232,0.006798751,0.0025393346
5.35,0.0011814903,0.0051405192,0.0019991526
5.45,9.2584617E-4,0.003959029,0.0015700709
5.55,7.531137E-4,0.0030331826,0.0012292392
5.65,5.734719E-4,0.002280069,9.5850683E-4
5.75,3.731022E-4,0.001706597,7.4345653E-4
5.85,3.178278E-4,0.0013334949,5.72636E-4
5.95,1.589139E-4,0.0010156671,4.3694844E-4
6.05,1.450953E-4,8.567532E-4,3.5118897E-4
6.15,1.5200459E-4,7.1165786E-4,2.9472896E-4
6.25,7.6002296E-5,5.596533E-4,2.570894E-4
6.35,6.21837E-5,4.83651E-4,2.2719138E-4
6.45,2.0727899E-5,4.214673E-4,2.0602916E-4
6.55,4.83651E-5,4.007394E-4,1.905869E-4
6.65,6.9092996E-5,3.523743E-4,1.8535733E-4
6.75,2.0727899E-5,2.832813E-4,1.8162979E-4
6.85,4.83651E-5,2.625534E-4,1.7715026E-4
6.95,3.4546498E-5,2.141883E-4,1.6665785E-4
7.05,1.38186E-5,1.796418E-4,1.6593328E-4
7.15,5.52744E-5,1.6582319E-4,1.6320385E-4
7.25,3.4546498E-5,1.105488E-4,1.5297995E-4
7.35,2.76372E-5,7.6002296E-5,1.4399021E-4
7.45,3.4546498E-5,4.83651E-5,1.275755E-4
7.55,0.0,1.38186E-5,8.869527E-5
7.65,6.9093E-6,1.38186E-5,5.2607353E-5
7.75,6.9093E-6,6.9093E-6,2.2625332E-5
7.85,0.0,0.0,3.9259817E-8
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
