Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.061154213,0.17284304,0.011651279
5.15,0.02485275,0.11168883,0.009031136
5.25,0.021591563,0.086836085,0.0069498816
5.35,0.016112488,0.06524452,0.0052966825
5.45,0.012505833,0.04913203,0.0039834995
5.55,0.00937592,0.036626197,0.0029404014
5.65,0.0067711137,0.027250279,0.0021118391
5.75,0.0050023333,0.020479165,0.0014536888
5.85,0.0037241126,0.015476832,9.309014E-4
5.95,0.002653171,0.011752719,5.483934E-4
6.05,0.001796418,0.009099548,2.6190293E-4
6.15,0.0017756901,0.00730313,1.4815832E-4
6.25,0.0012505833,0.00552744,5.829936E-5
6.35,9.2584617E-4,0.004276857,3.5316418E-5
6.45,6.6329277E-4,0.0033510104,2.407052E-5
6.55,5.734719E-4,0.0026877176,1.5585545E-5
6.65,3.0400918E-4,0.0021142457,1.1517444E-5
6.75,2.556441E-4,0.0018102366,8.444658E-6
6.85,2.003697E-4,0.0015545925,5.8688424E-6
6.95,2.694627E-4,0.0013542228,4.8847314E-6
7.05,2.418255E-4,0.0010847601,4.041427E-6
7.15,1.727325E-4,8.429346E-4,3.801629E-6
7.25,1.796418E-4,6.702021E-4,3.0545907E-6
7.35,1.174581E-4,4.905603E-4,2.4261296E-6
7.45,4.83651E-5,3.731022E-4,1.8225845E-6
7.55,4.83651E-5,3.247371E-4,1.4943679E-6
7.65,1.312767E-4,2.7637198E-4,1.1298653E-6
7.75,1.174581E-4,1.450953E-4,8.2220447E-7
7.85,6.9093E-6,2.76372E-5,4.5383788E-7
7.95,1.38186E-5,2.0727899E-5,2.1445098E-7
8.05,0.0,6.9093E-6,5.154039E-8
8.15,6.9093E-6,6.9093E-6,4.0369383E-9
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
