Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.06825007,0.20448764,0.09664417
5.15,0.032418434,0.13623758,0.07585208
5.25,0.02535713,0.10381914,0.059336346
5.35,0.020817721,0.07846201,0.04621711
5.45,0.016623776,0.05764429,0.035795785
5.55,0.012229461,0.041020513,0.02751831
5.65,0.009113367,0.028791053,0.020942688
5.75,0.0067365672,0.019677686,0.015719676
5.85,0.0044150427,0.012941118,0.011570381
5.95,0.0028673594,0.008526076,0.008274723
6.05,0.0014025879,0.0056587164,0.0061403704
6.15,9.2584617E-4,0.004256129,0.0049722674
6.25,6.356556E-4,0.0033302826,0.0040128203
6.35,3.869208E-4,0.002694627,0.0019419256
6.45,3.0400918E-4,0.0023077063,0.0011503285
6.55,1.865511E-4,0.002003697,0.001106238
6.65,2.210976E-4,0.0018171459,0.0010786718
6.75,1.934604E-4,0.0015960482,6.272276E-4
6.85,1.589139E-4,0.0014025879,6.2402204E-4
6.95,1.3818599E-4,0.001243674,6.197937E-4
7.05,2.003697E-4,0.0011054879,6.073835E-4
7.15,2.901906E-4,9.051183E-4,5.9979426E-4
7.25,2.832813E-4,6.149277E-4,5.748675E-4
7.35,2.07279E-4,3.3164638E-4,5.4041087E-4
7.45,1.036395E-4,1.243674E-4,5.231781E-4
7.55,1.38186E-5,2.0727899E-5,4.486123E-4
7.65,0.0,6.9093E-6,4.16545E-4
7.75,6.9093E-6,6.9093E-6,2.822034E-4
7.85,0.0,0.0,1.15503564E-4
7.95,0.0,0.0,9.621757E-5
8.05,0.0,0.0,1.2304817E-5
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
