Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.029101972,0.08676699,0.01147797
5.15,0.01647868,0.057665017,0.009175786
5.25,0.011338161,0.041186336,0.0073470958
5.35,0.007959514,0.029848175,0.005894515
5.45,0.0057485374,0.021888662,0.00474069
5.55,0.0042699473,0.016140124,0.003824174
5.65,0.0029779084,0.011870177,0.0030961593
5.75,0.0022247946,0.008892269,0.0025178767
5.85,0.0014233157,0.0066674743,0.0020585305
5.95,9.949392E-4,0.0052441587,0.0016936589
6.05,7.876602E-4,0.0042492193,0.0014038505
6.15,6.356556E-4,0.0034615593,0.0011736477
6.25,4.007394E-4,0.0028259037,9.96295E-4
6.35,4.214673E-4,0.0024251642,8.9758687E-4
6.45,2.694627E-4,0.002003697,8.5371523E-4
6.55,3.592836E-4,0.0017342343,7.846718E-4
6.65,2.625534E-4,0.0013749506,7.84633E-4
6.75,2.07279E-4,0.0011123973,7.787716E-4
6.85,2.694627E-4,9.051183E-4,7.7757885E-4
6.95,1.312767E-4,6.356556E-4,7.6285703E-4
7.05,1.450953E-4,5.0437887E-4,7.2591443E-4
7.15,1.174581E-4,3.592836E-4,6.989838E-4
7.25,6.9092996E-5,2.418255E-4,6.6120183E-4
7.35,8.98209E-5,1.727325E-4,6.274964E-4
7.45,2.76372E-5,8.2911596E-5,5.7635945E-4
7.55,6.9093E-6,5.52744E-5,4.8589433E-4
7.65,6.9093E-6,4.83651E-5,2.8251347E-4
7.75,1.38186E-5,4.1455798E-5,1.8037164E-4
7.85,2.0727899E-5,2.76372E-5,1.1361344E-4
7.95,0.0,6.9093E-6,2.6676507E-5
8.05,6.9093E-6,6.9093E-6,3.5980095E-6
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
