Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.006294372,0.018820932,0.031251006
5.15,0.0031920965,0.012526561,0.024538154
5.25,0.0025909874,0.009334465,0.019205946
5.35,0.0017342343,0.0067434767,0.014970423
5.45,0.0013265855,0.0050092423,0.011606026
5.55,8.843904E-4,0.003682657,0.008933593
5.65,6.5638346E-4,0.0027982665,0.006810802
5.75,5.251068E-4,0.002141883,0.00512461
5.85,3.45465E-4,0.0016167762,0.0037852197
5.95,2.07279E-4,0.0012713112,0.0027213043
6.05,1.6582319E-4,0.0010640322,0.0018960169
6.15,8.98209E-5,8.98209E-4,0.0013377487
6.25,4.83651E-5,8.083881E-4,8.952217E-4
6.35,8.98209E-5,7.60023E-4,6.0504186E-4
6.45,4.1455798E-5,6.702021E-4,5.082283E-4
6.55,5.52744E-5,6.287463E-4,4.3743566E-4
6.65,7.6002296E-5,5.734719E-4,2.4913216E-4
6.75,3.4546498E-5,4.974696E-4,2.4913216E-4
6.85,4.83651E-5,4.6292308E-4,1.8770967E-4
6.95,6.9092996E-5,4.14558E-4,1.5497048E-4
7.05,8.98209E-5,3.45465E-4,1.3532475E-4
7.15,5.52744E-5,2.556441E-4,1.16266405E-4
7.25,4.83651E-5,2.003697E-4,1.00141435E-4
7.35,2.76372E-5,1.5200459E-4,7.817219E-5
7.45,2.76372E-5,1.243674E-4,6.563083E-5
7.55,6.9093E-6,9.67302E-5,4.9494305E-5
7.65,2.76372E-5,8.98209E-5,3.0338862E-5
7.75,1.38186E-5,6.21837E-5,1.0887747E-5
7.85,3.4546498E-5,4.83651E-5,0.0
7.95,0.0,1.38186E-5,0.0
8.05,1.38186E-5,1.38186E-5,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
