Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0033717384,0.009742113,0.0032484918
5.15,0.0014164065,0.0063703745,0.0029812679
5.25,0.0011883996,0.004953968,0.0027690043
5.35,8.912997E-4,0.0037655684,0.0026003972
5.45,7.323858E-4,0.0028742687,0.002466468
5.55,5.596533E-4,0.002141883,0.002360084
5.65,3.869208E-4,0.0015822296,0.0022755805
5.75,2.556441E-4,0.0011953089,0.0022084569
5.85,1.450953E-4,9.396648E-4,0.0021551386
5.95,1.174581E-4,7.945695E-4,0.0021127865
6.05,8.98209E-5,6.771114E-4,0.0020992735
6.15,2.76372E-5,5.872905E-4,0.0020890208
6.25,1.105488E-4,5.596533E-4,0.0011140954
6.35,4.83651E-5,4.491045E-4,7.6029537E-4
6.45,5.52744E-5,4.007394E-4,7.6026376E-4
6.55,8.2911596E-5,3.45465E-4,6.248364E-4
6.65,3.4546498E-5,2.625534E-4,5.28624E-4
6.75,2.0727899E-5,2.280069E-4,4.3059821E-4
6.85,2.0727899E-5,2.07279E-4,2.8694127E-4
6.95,2.76372E-5,1.865511E-4,1.8767078E-4
7.05,4.1455798E-5,1.589139E-4,1.1579713E-4
7.15,2.76372E-5,1.174581E-4,2.9059294E-5
7.25,6.9093E-6,8.98209E-5,7.378361E-7
7.35,2.76372E-5,8.2911596E-5,1.0840584E-7
7.45,2.76372E-5,5.52744E-5,0.0
7.55,2.76372E-5,2.76372E-5,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
