Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.05,52.353381396693045,7.57040660978227,31.29655195161719,39.58088369566438,44.83656829570197,51.55708869322777,60.34653101388844,68.53732771726678,78.33872868514533
6.15,68.40566118840245,9.95026402576884,42.78974923970995,49.69508924823752,58.22562451942212,67.82047584765655,78.4473184270407,89.1630600905587,99.46386567921505
6.25,88.8951275361621,13.252724891580122,52.309348967658394,63.73683567448599,75.63589050894636,88.30077476194397,102.20944788645978,118.28724724774997,136.20170678936782
6.35,115.90129693826884,18.780856952318025,63.037423152207744,80.40504637239512,97.30281923355355,114.92219017705659,133.10767797621702,160.15673216804285,181.80426694203123
6.45,148.16344668013622,23.77342452187141,92.31039783852752,102.74856239100417,123.45826220367259,146.52015129027117,171.4176369111259,196.7018227641012,223.44128208418098
6.55,191.87594144341347,29.338156387968244,103.03331407943085,135.85590804211424,162.34769074165476,190.26330543153296,221.00247503463208,253.07227802513438,284.05436056861583
6.65,249.12699674949647,38.25988511454038,140.2662754852634,181.82317903423566,211.83064392434036,245.884785172315,290.93386109481224,327.2813242605248,355.16323191242105
6.75,312.6221370460728,51.61301573849661,175.47374324037793,215.06785844056125,263.2170885377513,303.0945849282895,365.6371268779248,427.8155378986021,490.6208881347276
6.85,402.84805355651196,67.59989587483565,222.2121591928106,252.69522670374963,336.85117925169305,405.36327689367636,467.5558650775474,535.4011615507842,584.397521715539
6.95,500.4683044073563,81.33060294502579,318.35825876116775,364.8897223175766,422.3349555264823,486.63222089770613,594.1574374180216,670.2326256674548,748.6614961381492
7.05,639.5776168954483,119.70431419374354,395.61259608841004,457.4371562821688,521.0578722732032,622.8187105626188,757.857761329922,920.9363733908765,1035.506357634106
7.15,804.1525975368228,147.69325366669037,489.5053890661334,553.9721006847209,632.1127427940481,802.2870071414578,961.1792160951418,1111.2595996612633,1306.950782644072
7.25,993.130566860093,175.32055076856267,578.0012842958089,644.3655251516118,813.3556033696555,992.0624423274315,1177.472466336668,1368.3972661186904,1441.7265614674072
7.35,1284.424930902479,262.3447567035967,703.8622856179998,798.7252507674134,1033.437638106052,1241.4519791312036,1574.1701765879911,1838.8861513728032,1939.4557121111047
7.45,1609.382839893789,302.41455092467163,1049.12948599303,1126.4690164762453,1318.3560509691724,1571.2591180300265,1880.843819735284,2332.878509963959,2751.8009412367555
7.55,2032.9869011067392,392.8643457953381,1246.2817979413371,1414.242827673499,1598.9222763153646,1986.6791163749024,2412.8942574054468,3004.9419643148003,3198.8023029015058
7.65,2509.800806526651,483.3746907160476,1201.0207309408745,1799.9717378641312,2093.611076683843,2408.1655012303745,3001.733317896256,3707.564923898431,4102.212184632704
7.75,3412.4371665136546,848.7282582709399,1279.9174939398354,1831.4564564116845,2471.5734650287136,3601.9181841410223,4302.986465066525,5153.84479145614,5190.700250103937
7.85,4243.167481993849,617.0355591876815,2541.8290709564485,2541.8290709564485,3535.5367026844647,4348.501973633589,4774.01088674269,5570.1824950615965,5570.1824950615965
7.95,5286.411485406346,1684.9122208214953,3151.17391688956,3151.17391688956,3788.728867212466,4442.0464935031305,7680.944783868933,8142.0126404247585,8142.0126404247585
8.05,7364.699899389023,1350.9835780577137,5545.052093728539,5545.052093728539,5653.493447630909,7465.023432804229,8834.584312181853,8857.098887930975,8857.098887930975
8.15,7631.985050272863,1135.5454290029222,6140.83594830083,6140.83594830083,6140.83594830083,7849.414504393096,8688.275244004431,8688.275244004431,8688.275244004431
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
