Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.05,32.40668900252656,4.299046120831391,14.060111813640644,24.95594683385253,28.353534401130517,32.2453919942958,36.49708464147859,41.45070405411403,57.24097206950528
6.15,43.44673865890358,5.450010057776529,26.626598942290457,33.55726663365415,37.94356912502865,43.462701560175695,49.067675738028186,53.73237356231389,72.96859627848809
6.25,57.33717559635702,7.622713215772992,36.52865617178803,43.50728833522786,49.74244497668936,56.45992865044078,64.95663029941979,72.97305777126232,96.53632976260779
6.35,75.96106496629166,9.672809298009438,44.8448531427385,58.37805332116813,66.73784332660387,75.04193935827485,85.62916668182747,95.9456403639991,120.09307125553548
6.45,97.90677408501693,13.027479739214773,63.37510593513079,74.17598918356401,84.90094265852986,97.48115965064459,111.45005979767679,124.19621423842706,149.86470658297893
6.55,126.88974237154142,16.94462456016431,82.27756087543162,97.92057380314955,110.06027529001008,125.1064246280003,143.61801937185157,163.1416558742362,186.33146809704274
6.65,162.49412592018524,23.161692381978785,104.86758800661558,124.68679092226343,140.20660586541652,160.03119881350887,185.29523036472253,216.02048753067447,260.36734493908955
6.75,214.56345111243064,30.01015357152446,144.98402464924482,163.60366802165655,185.03899723468868,211.57921898465528,246.27768343341947,282.7742727713327,298.24518237278755
6.85,274.42926939411683,39.62218334802789,184.2417233515624,208.86071309383362,236.09986918719588,268.89929695971193,314.6973760295921,357.04756011096526,454.7948493740361
6.95,357.12977701457567,51.498240914864596,216.68831803866414,261.69798912107046,311.58114060144806,353.26355417352505,405.1216445236475,469.17730262858333,562.8959663134992
7.05,467.6455285690951,71.97190512002106,277.53208250213544,339.0577601327786,396.3824772732567,460.8909197488445,540.08292830071,616.559716873886,709.8343880036156
7.15,585.993324175843,85.21052452901633,347.9221261818149,432.3026651080171,506.99533774925317,577.6023428935426,668.225062290278,774.010347994747,871.7089912050169
7.25,732.6009790904341,119.0047746426296,443.5366817982262,558.9650927175571,630.4699429491362,700.2563871751681,849.6562498892528,1032.4618203523048,1220.88713131281
7.35,967.0943276210774,152.25970259808582,565.4121459991677,701.406777647849,826.6697036885138,951.8514370485425,1120.7051342885266,1299.3085467918581,1434.7286916118965
7.45,1224.912588609846,188.11176266986868,733.0983696238296,936.9555507338146,1048.6230582560784,1203.519040027694,1405.262363514631,1688.4867996099106,2057.639173209484
7.55,1579.992781321176,267.0138426398015,1066.5599739222912,1142.6301763422878,1302.215127349935,1557.649924412977,1879.4861773722419,2126.7505277821624,2343.939907449474
7.65,2093.8857985509576,310.516332029796,1206.6990848017424,1528.8047790669514,1791.3650714000516,2072.968896043456,2402.1083432957053,2817.1900608417127,3036.9417436630206
7.75,2775.1128387184317,368.26123262788514,1925.6103949423118,2168.591740695735,2359.1532326895363,2754.9371263111866,3139.8132328416614,3512.3721917172193,3881.2565379460843
7.85,3785.263660479035,544.6671718539055,2032.286760695969,2895.6596134319493,3266.288146459508,3751.0295735814407,4437.3485641654115,4795.316420396279,4940.820453470916
7.95,5098.412341900407,802.9880748988062,2403.3416070528488,3145.195499914541,4394.743892124812,5035.296285233511,6079.842854648606,6609.479030272698,6619.801901062845
8.05,7014.494212188228,542.0927307313393,5728.728130030582,5773.066915465397,6605.2636426593945,7002.7243906497915,7325.363138698856,9136.077564287083,9335.396898005154
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
