Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.05,38.88918037136002,5.180131353882339,28.034149158437167,30.62414352906205,33.7026479930523,38.6538425993205,43.32972897659501,52.36307651525387,57.45708632594953
6.15,51.096358289399966,7.47857404412049,32.99722178829452,38.9737336868727,43.96686201289961,50.772863806156295,57.92906037357783,68.28976406638895,84.28595083232597
6.25,68.33278339379878,8.949496924686047,49.62326634645209,50.70475265139594,60.177432856846096,67.67046849104891,77.24547700979939,87.73553687366953,98.12754961561295
6.35,87.55781452469215,11.733067649467298,50.467199520631446,64.75369989290775,77.28968503448272,87.40708383294638,99.19526611362632,116.4579577295173,117.86245418987106
6.45,113.07852660952771,16.697486010827163,69.65534277177584,70.36946590661174,99.80826672579268,115.31068272619663,127.46933180724123,148.44425726246806,158.82230076279467
6.55,147.91200229373587,18.665076791430376,100.6459326851367,111.62400431941987,129.94200467634116,145.39849485420365,167.78282650200754,190.851805006605,198.64888591504234
6.65,191.30962204951214,23.218807315517715,144.70666711349477,153.20012708885048,166.47363268107506,186.171468378037,216.17603326781827,237.00370801549357,258.0880110281406
6.75,240.6301209211306,40.92499337827894,151.58366714788633,152.38298101833968,206.11163363605047,233.11437845425567,280.27080472492304,343.6356643271691,346.3043086325992
6.85,306.99282700129294,45.46209739293341,191.93718402594763,206.2569497644216,263.6156729064142,303.9246760266207,355.8045670463077,399.7252270817224,435.7094603793292
6.95,398.9900232562471,60.350715076802864,306.21100085956306,315.1793521667204,342.94342344280733,391.4844765322172,450.45830694090057,553.3373936387732,646.1343358764083
7.05,497.0542706522194,78.27478670312954,379.34564950808556,387.92132947897113,425.32247039157284,486.38036785794856,557.3767158966119,705.0831827934734,766.5180433567938
7.15,681.4483445312392,120.28057048228808,432.303697506707,488.55779610836925,560.3696308287591,655.8970941451641,824.8089869703496,971.6199377316757,1009.3005191322188
7.25,834.2930575715365,128.8031261769511,603.4480410755029,607.015106809964,721.0373183275346,812.4254384712776,958.8783270833264,1166.0339375382528,1176.7159312395654
7.35,1059.4844261503454,185.29778871228174,743.8798528639902,744.3165764075816,896.8931859229691,1011.7840405290964,1227.1477193551398,1612.88172729416,1630.8056035955158
7.45,1344.6670221436354,259.9243965720491,1017.3842861237946,1020.1974448303237,1113.8274447238348,1230.3381297011658,1668.841269009347,2002.6643966283045,2033.2127704942136
7.55,1829.8105118610533,422.1647179627189,1285.512413991331,1285.512413991331,1393.0312075195034,1794.0144816965494,2281.5426469557265,2554.2339241063687,2554.2339241063687
7.65,2207.4764888663312,412.52440941601037,1631.0472258397506,1631.0472258397506,1746.390890338013,2122.4521659791835,2727.5770303740346,2867.2999356000837,2867.2999356000837
7.75,2755.824399706626,459.4859579643434,2105.6995212741645,2105.6995212741645,2105.6995212741645,2899.583061974151,3118.431953604038,3118.431953604038,3118.431953604038
7.85,3209.0550798487484,814.9758579012282,2156.7433220719618,2156.7433220719618,2224.63041781405,3206.3099733184054,4440.560771493215,4585.6065797867,4585.6065797867
7.95,5685.245561018373,0.0,5685.245561018373,5685.245561018373,5685.245561018373,5685.245561018373,5685.245561018373,5685.245561018373,5685.245561018373
8.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
