Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.003024128,0.0016095903,0.0023544997,0.001825071
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],1.7280731E-4,1.64338E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0015336649,0.001295714,0.0013392566,0.0012855973
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],5.832247E-4,5.6273025E-4,5.1842193E-4,5.120825E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0012312521,0.001092724,0.0010584448,0.0010388648
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],6.2642654E-4,5.5098545E-4,4.536192E-4,4.4017332E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.005832247,0.005535567,0.005767444,0.0056429394
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0012312521,0.0011742703,0.0012096512,0.0011877136
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0011664494,0.0010888237,9.072384E-4,8.860881E-4
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],0.0011448484,5.5223546E-4,2.5921097E-4,2.2353095E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0025921096,0.0022953697,0.0021168897,0.0020516806
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0036073527,0.0026728408,0.0020736877,0.001947105
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.00354255,0.003456109,0.0034993482,0.0034628212
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.0066746827,0.0051051453,0.0057242424,0.005268386
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0034993482,0.003463489,0.0034993482,0.0034636757
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0040177703,0.0038267646,0.003801761,0.003737104
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.0044497885,0.004144733,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],1.512064E-4,1.4093237E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0018576786,0.0017630619,0.0016632704,0.0016414219
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0037369581,0.0027297172,0.0031105317,0.002809064
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0017496741,0.0017280497,0.0017496741,0.0017321773
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0014040595,0.0011849757,8.856375E-4,7.957124E-4
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.0057026413,0.005435911,0.0053570266,0.0052643167
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.006307467,0.003649434,0.0036073527,0.002981851
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.007020297,0.005487012,0.004536192,0.0042610937
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.007020297,0.005487012,0.0049466095,0.0047325264
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.004536192,0.0044754255,0.004536192,0.0044896225
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0065018754,0.0038229444,0.004773802,0.0045125433
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0038233618,0.0025401171,0.0019224813,0.0016910145
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0036937564,0.0027785143,0.002311298,0.002192563
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.004557793,0.0044604633,0.004536192,0.004490028
