Magnitude,Mean,Standard Deviation,0.0 fractile,0.025 fractile,0.16 fractile,0.5 fractile,0.84 fractile,0.975 fractile,1.0 fractile
6.05,33.87726653974346,4.395362880557488,12.82334826784449,26.253912246938263,29.501384598804954,33.6724368682694,37.92511919910053,42.87622230452791,84.63552144691637
6.15,45.37823832328122,5.857332759811816,19.24495156647564,35.10770127114129,39.63294264439259,44.903610414189295,51.03716451755637,57.53319774169166,87.07713135754184
6.25,60.58867706337293,7.954393177346556,27.86883126821642,46.23835010521988,53.27585527074742,60.29114886119227,68.37257558198407,76.66340955524385,136.64656987895154
6.35,80.25257261439997,10.221367245962144,46.570184313460224,63.01714217463597,70.3830130000257,79.39764681819074,89.83317370793812,101.81108065981032,206.43780354417578
6.45,105.38453820489919,13.414478289030255,58.858791888238564,83.07630059469835,92.5773506703955,103.9393385747891,118.11563915803426,134.65756068818635,197.35508427455233
6.55,139.14537801330772,17.959054675143797,75.67587151017186,108.14107548377832,121.67211569021131,137.6860982968943,156.17766997257624,176.8841767373094,329.5941521958146
6.65,183.23481920517477,22.19757019777235,114.21585710807587,146.01121068959839,161.99271645682984,180.98999410792217,204.56033749687498,231.43986198977686,387.77414413432746
6.75,241.06511298689202,29.391724736148664,157.04438876039328,191.0683528386436,212.44108590587797,238.5185989614764,270.0984907471215,303.1059522620235,518.556764387503
6.85,316.5928878798963,37.77986330936011,201.07548834567245,250.07073743931497,279.3574833804252,314.3727486189046,353.65007066989125,393.61653372387946,614.794109687131
6.95,409.9656188067637,49.49021700238723,278.5951061939667,323.1874510695987,361.061472992986,407.30426405996,458.5228153919319,515.4694316016531,784.7556573280676
7.05,528.7220472306416,65.79545916659758,348.32931917124284,418.7130233121106,462.89171071789315,523.6583952220735,592.4100438754987,672.8951350555108,880.5298466839929
7.15,679.5644462839065,84.15344895454912,451.3521102841678,531.7835780474209,601.4382946309563,668.6909021031488,763.2155913981213,867.1493512775604,1027.8535062622204
7.25,862.6090298108996,111.067803607697,563.1349867324344,674.9871274302335,744.9852667266332,852.9568539368308,969.4570392018776,1102.156010068373,1713.3516792610915
7.35,1114.2087790352798,135.85259499208897,738.5797210227047,889.2444189790039,974.8001165591376,1104.9665823938897,1246.1049914064727,1408.2353132626235,1729.0043516055205
7.45,1418.12202025876,178.82644768804352,983.8179374040355,1127.1838589150782,1246.5297546885697,1391.0629811184242,1612.7210787208342,1802.9112874082207,2418.8849562303144
7.55,1945.52234411354,225.65077038402276,1251.1684937924688,1507.4417300459809,1722.2383457072294,1945.4351759698816,2165.12903120985,2393.0454659897814,2885.979406252135
7.65,2558.4327861815,285.05588043172344,1632.9447287927464,2051.3749633801963,2287.269428828097,2536.9267353870405,2839.5670758443807,3182.0706223904717,4189.804713431144
7.75,3511.562721369061,446.9643543068603,2457.1935901283464,2755.5251618279203,3021.3704243716134,3518.5542066692933,3976.4131268846563,4406.047196951111,4875.737813415683
7.85,4840.399832547014,538.1090294056445,3578.819974539919,3860.39462620607,4319.147364577279,4800.25567309435,5428.035287831309,5927.980719422565,6474.1946398588525
7.95,6469.940038385779,551.4246298919911,5324.279619235345,5494.947266308643,5911.06086491996,6432.795547034009,7002.706932843291,7832.222646856161,8670.73626568561
8.05,7569.9507058357,0.0,7569.9507058357,7569.9507058357,7569.9507058357,7569.9507058357,7569.9507058357,7569.9507058357,7569.9507058357
8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
