Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0039473237,0.010371399,0.013988371
5.15,0.0022600363,0.0064240755,0.011096277
5.25,0.0013157745,0.004164039,0.008799006
5.35,6.19188E-4,0.0028482648,0.006974219
5.45,4.489113E-4,0.0022290768,0.0055247387
5.55,3.405534E-4,0.0017801655,0.004373376
5.65,2.476752E-4,0.0014396121,0.0034588156
5.75,1.54797E-4,0.0011919369,0.0027323547
5.85,1.54797E-4,0.0010371399,0.0021553063
5.95,1.702767E-4,8.823429E-4,0.0016969405
6.05,7.73985E-5,7.120662E-4,0.0013470993
6.15,1.702767E-4,6.346677E-4,0.0012104755
6.25,7.73985E-5,4.64391E-4,0.0011149137
6.35,7.73985E-5,3.869925E-4,5.304164E-4
6.45,3.09594E-5,3.09594E-4,5.2635063E-4
6.55,4.64391E-5,2.786346E-4,3.7107072E-4
6.65,1.54797E-5,2.321955E-4,2.7739926E-4
6.75,3.09594E-5,2.167158E-4,2.152555E-4
6.85,1.54797E-5,1.857564E-4,1.7163905E-4
6.95,6.19188E-5,1.702767E-4,1.2919957E-4
7.05,1.083579E-4,1.083579E-4,7.4732074E-5
7.15,0.0,0.0,2.9155237E-5
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
