Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0029721025,0.007167101,0.0059735756
5.15,0.0015015309,0.0041949986,0.0048934645
5.25,6.501474E-4,0.0026934678,0.004035502
5.35,5.417895E-4,0.0020433203,0.0033539985
5.45,2.941143E-4,0.0015015309,0.0028126608
5.55,2.321955E-4,0.0012074166,0.002382661
5.65,1.238376E-4,9.752211E-4,0.0020410998
5.75,4.64391E-5,8.513835E-4,0.0017697883
5.85,4.64391E-5,8.049444E-4,0.001554278
5.95,7.73985E-5,7.585053E-4,0.0013830919
6.05,0.0,6.811068E-4,0.0012496586
6.15,3.09594E-5,6.811068E-4,0.001191972
6.25,4.64391E-5,6.501474E-4,0.0011582181
6.35,1.238376E-4,6.037083E-4,5.68285E-4
6.45,7.73985E-5,4.798707E-4,5.680722E-4
6.55,1.702767E-4,4.024722E-4,2.2611907E-4
6.65,1.54797E-4,2.321955E-4,2.2607528E-4
6.75,7.73985E-5,7.73985E-5,1.6598296E-4
6.85,0.0,0.0,1.2812386E-6
6.95,0.0,0.0,1.1414857E-6
7.05,0.0,0.0,9.688353E-7
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
