Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.107367195,0.29103383,0.2136791
5.15,0.06673299,0.18366665,0.16673005
5.25,0.038993362,0.11693365,0.1294371
5.35,0.024798479,0.07794029,0.09981425
5.45,0.016594239,0.05314181,0.07628398
5.55,0.010711952,0.03654757,0.057593223
5.65,0.006764629,0.025835618,0.04274663
5.75,0.0043962346,0.01907099,0.030953495
5.85,0.002941143,0.014674756,0.021585548
5.95,0.0023838738,0.011733613,0.01414157
6.05,0.0019040031,0.009349739,0.010361473
6.15,0.0013312541,0.007445736,0.009531914
6.25,8.668632E-4,0.0061144815,0.0079712495
6.35,7.430256E-4,0.005247618,0.006569192
6.45,6.965865E-4,0.0045045926,0.0060796672
6.55,0.0011145384,0.0038080062,0.005646591
6.65,7.120662E-4,0.0026934678,0.0041618836
6.75,0.0015170106,0.0019814016,0.004099414
6.85,3.250737E-4,4.64391E-4,0.0039963736
6.95,4.64391E-5,1.393173E-4,0.0039080456
7.05,0.0,9.28782E-5,0.0036226988
7.15,0.0,9.28782E-5,0.0031245102
7.25,9.28782E-5,9.28782E-5,0.0024455981
7.35,0.0,0.0,0.0020529516
7.45,0.0,0.0,9.3939673E-4
7.55,0.0,0.0,9.147618E-4
7.65,0.0,0.0,8.3802635E-4
7.75,0.0,0.0,4.2622484E-4
7.85,0.0,0.0,3.954782E-4
7.95,0.0,0.0,3.14912E-4
8.05,0.0,0.0,2.3191649E-4
8.15,0.0,0.0,1.3910608E-4
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
