Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.018668517,0.048265703,0.019533569
5.15,0.0118110115,0.029597186,0.015825057
5.25,0.0067801084,0.017786175,0.012879282
5.35,0.0039318437,0.011006067,0.01053937
5.45,0.0020588,0.007074223,0.0086807115
5.55,0.0010680993,0.0050154226,0.0072043263
5.65,8.049444E-4,0.0039473237,0.006031592
5.75,4.64391E-4,0.003142379,0.005100056
5.85,2.941143E-4,0.002677988,0.004360111
5.95,1.54797E-4,0.0023838738,0.0037723514
6.05,1.238376E-4,0.0022290768,0.0033054776
6.15,1.393173E-4,0.002105239,0.0029346263
6.25,7.73985E-5,0.0019659218,0.0026403645
6.35,1.238376E-4,0.0018885233,0.002546705
6.45,8.049444E-4,0.0017646858,0.0024724458
6.55,2.012361E-4,9.597414E-4,0.0016937581
6.65,1.702767E-4,7.585053E-4,0.0016937581
6.75,2.012361E-4,5.882286E-4,0.00125561
6.85,3.869925E-4,3.869925E-4,8.879E-4
6.95,0.0,0.0,6.4744795E-4
7.05,0.0,0.0,4.6217185E-4
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
