Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.001857564,0.0058668065,0.0034925789
5.15,0.0013622136,0.004009242,0.0030305001
5.25,6.19188E-4,0.0026470288,0.0026634582
5.35,4.179519E-4,0.0020278406,0.0023719063
5.45,2.167158E-4,0.0016098887,0.0021403185
5.55,1.54797E-4,0.001393173,0.0019563618
5.65,3.09594E-5,0.001238376,0.0018102397
5.75,1.393173E-4,0.0012074166,0.0016941709
5.85,2.786346E-4,0.0010680993,0.001601974
5.95,1.238376E-4,7.894647E-4,0.0015287396
6.05,1.54797E-5,6.6562707E-4,0.0015054282
6.15,1.54797E-5,6.501474E-4,7.9971575E-4
6.25,3.09594E-5,6.346677E-4,7.996979E-4
6.35,6.19188E-5,6.037083E-4,4.703747E-4
6.45,1.857564E-4,5.417895E-4,4.703747E-4
6.55,1.857564E-4,3.560331E-4,3.5230242E-4
6.65,3.09594E-5,1.702767E-4,2.7596057E-4
6.75,3.09594E-5,1.393173E-4,1.6831742E-4
6.85,6.19188E-5,1.083579E-4,1.305254E-4
6.95,4.64391E-5,4.64391E-5,7.573123E-5
7.05,0.0,0.0,2.1623326E-5
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
