Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,1.857564E-4,6.037083E-4,0.009323687
5.15,6.19188E-5,4.179519E-4,0.0072311196
5.25,6.19188E-5,3.560331E-4,0.0055689337
5.35,3.09594E-5,2.941143E-4,0.004248613
5.45,1.54797E-5,2.6315489E-4,0.0031998446
5.55,1.54797E-5,2.476752E-4,0.0023667784
5.65,3.09594E-5,2.321955E-4,0.0017050505
5.75,1.54797E-5,2.012361E-4,0.0011794212
5.85,0.0,1.857564E-4,7.6189905E-4
5.95,4.64391E-5,1.857564E-4,4.3024943E-4
6.05,0.0,1.393173E-4,1.9608026E-4
6.15,0.0,1.393173E-4,9.729074E-5
6.25,1.54797E-5,1.393173E-4,4.020683E-5
6.35,0.0,1.238376E-4,7.231951E-6
6.45,1.54797E-5,1.238376E-4,7.229863E-6
6.55,0.0,1.083579E-4,6.112142E-6
6.65,0.0,1.083579E-4,5.309038E-6
6.75,3.09594E-5,1.083579E-4,5.12124E-6
6.85,1.54797E-5,7.73985E-5,4.219394E-6
6.95,3.09594E-5,6.19188E-5,3.959554E-6
7.05,0.0,3.09594E-5,0.0
7.15,1.54797E-5,3.09594E-5,0.0
7.25,0.0,1.54797E-5,0.0
7.35,1.54797E-5,1.54797E-5,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
