Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.048203785,0.122413464,0.019337835
5.15,0.028064696,0.07420968,0.015402874
5.25,0.019457983,0.046144985,0.012277223
5.35,0.010433318,0.026687002,0.009794431
5.45,0.0062692785,0.016253686,0.007822278
5.55,0.003250737,0.009984407,0.006255742
5.65,0.0020897596,0.0067336694,0.005011398
5.75,0.0011609775,0.00464391,0.0040229806
5.85,6.811068E-4,0.0034829325,0.0032378526
5.95,5.417895E-4,0.0028018258,0.0026142034
6.05,4.024722E-4,0.0022600363,0.002118821
6.15,1.702767E-4,0.001857564,0.0019541914
6.25,1.238376E-4,0.0016872872,0.0018234215
6.35,6.19188E-5,0.0015634497,0.0013005447
6.45,4.64391E-5,0.0015015309,0.0012981286
6.55,6.19188E-5,0.0014550918,0.0011074145
6.65,1.54797E-5,0.001393173,9.693432E-4
6.75,4.64391E-5,0.0013776933,8.6124765E-4
6.85,3.405534E-4,0.0013312541,8.189853E-4
6.95,2.012361E-4,9.907008E-4,7.517743E-4
7.05,4.179519E-4,7.894647E-4,7.113362E-4
7.15,6.19188E-5,3.715128E-4,7.058973E-4
7.25,9.28782E-5,3.09594E-4,7.036652E-4
7.35,1.238376E-4,2.167158E-4,7.005397E-4
7.45,1.54797E-5,9.28782E-5,6.93288E-4
7.55,6.19188E-5,7.73985E-5,6.745695E-4
7.65,1.54797E-5,1.54797E-5,5.4325466E-4
7.75,0.0,0.0,4.6359075E-4
7.85,0.0,0.0,1.0851867E-6
7.95,0.0,0.0,3.6808274E-9
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
