Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.027058516,0.1996262,0.010977194
5.15,0.0690859,0.1725677,0.008744703
5.25,0.048312142,0.10348179,0.0069713728
5.35,0.019829495,0.05516965,0.0055627665
5.45,0.013885291,0.035340156,0.004443871
5.55,0.008095883,0.021454863,0.0035551004
5.65,0.004597471,0.013358981,0.0028491248
5.75,0.0028637445,0.00876151,0.0022883487
5.85,0.0017646858,0.0058977655,0.0018429082
5.95,0.0012693354,0.0041330797,0.0014890824
6.05,6.346677E-4,0.0028637445,0.0012080284
6.15,5.2630977E-4,0.0022290768,0.0011125436
6.25,3.09594E-4,0.001702767,0.0010372188
6.35,9.28782E-5,0.001393173,9.865968E-4
6.45,1.702767E-4,0.0013002948,9.847495E-4
6.55,9.28782E-5,0.0011300182,9.43985E-4
6.65,7.73985E-5,0.0010371399,9.195332E-4
6.75,3.09594E-5,9.597414E-4,8.71744E-4
6.85,3.09594E-5,9.28782E-4,8.600054E-4
6.95,1.54797E-5,8.978226E-4,8.414679E-4
7.05,4.64391E-5,8.823429E-4,8.349729E-4
7.15,3.09594E-5,8.359038E-4,8.2556414E-4
7.25,9.28782E-5,8.049444E-4,8.1876287E-4
7.35,1.393173E-4,7.120662E-4,7.8959484E-4
7.45,3.560331E-4,5.727489E-4,7.6926965E-4
7.55,2.012361E-4,2.167158E-4,7.4253295E-4
7.65,1.54797E-5,1.54797E-5,5.748078E-4
7.75,0.0,0.0,4.6411666E-4
7.85,0.0,0.0,1.1175662E-6
7.95,0.0,0.0,3.6808274E-9
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
