Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0057429685,0.017786175,0.007689854
5.15,0.0038080062,0.012043207,0.0063726516
5.25,0.002523191,0.0082352,0.005326361
5.35,0.0015170106,0.0057120095,0.0044952626
5.45,9.752211E-4,0.0041949986,0.0038350974
5.55,6.501474E-4,0.0032197775,0.0033107097
5.65,4.024722E-4,0.0025696303,0.0028941738
5.75,2.012361E-4,0.002167158,0.0025633078
5.85,1.54797E-4,0.0019659218,0.0023004913
5.95,1.238376E-4,0.0018111249,0.0020917288
6.05,2.167158E-4,0.0016872872,0.0019302301
6.15,1.238376E-4,0.0014705715,0.0018400184
6.25,1.238376E-4,0.0013467339,0.0017683607
6.35,6.19188E-5,0.0012228963,0.0010837705
6.45,3.09594E-5,0.0011609775,0.0010712331
6.55,3.09594E-5,0.0011300182,0.0010644472
6.65,2.321955E-4,0.0010990587,0.0010590571
6.75,4.024722E-4,8.668632E-4,7.1924226E-4
6.85,4.64391E-5,4.64391E-4,6.7402335E-4
6.95,1.54797E-5,4.179519E-4,6.7402335E-4
7.05,3.09594E-5,4.024722E-4,6.7402335E-4
7.15,3.09594E-5,3.715128E-4,5.6862977E-4
7.25,1.238376E-4,3.405534E-4,5.795268E-6
7.35,2.167158E-4,2.167158E-4,5.7575016E-6
7.45,0.0,0.0,5.723871E-6
7.55,0.0,0.0,5.579003E-6
7.65,0.0,0.0,5.381095E-6
7.75,0.0,0.0,4.7837193E-7
7.85,0.0,0.0,3.3674397E-8
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
