Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.006872987,0.01862208,0.018875368
5.15,0.003715128,0.0117490925,0.014902145
5.25,0.0025851098,0.008033964,0.011746102
5.35,0.0017801655,0.0054488545,0.009239168
5.45,0.0010526195,0.003668689,0.00724784
5.55,7.430256E-4,0.0026160693,0.0056660715
5.65,3.560331E-4,0.0018730437,0.0044096285
5.75,1.54797E-4,0.0015170106,0.0034116001
5.85,3.250737E-4,0.0013622136,0.002618838
5.95,1.393173E-4,0.0010371399,0.0019891248
6.05,1.083579E-4,8.978226E-4,0.0016956531
6.15,1.393173E-4,7.894647E-4,0.00151064
6.25,1.083579E-4,6.501474E-4,6.718835E-4
6.35,7.73985E-5,5.417895E-4,6.5796904E-4
6.45,4.64391E-5,4.64391E-4,5.209545E-4
6.55,3.09594E-5,4.179519E-4,4.527762E-4
6.65,1.54797E-5,3.869925E-4,3.8990745E-4
6.75,4.64391E-5,3.715128E-4,3.5445546E-4
6.85,1.54797E-5,3.250737E-4,2.8710422E-4
6.95,2.321955E-4,3.09594E-4,2.2874033E-4
7.05,3.09594E-5,7.73985E-5,1.783336E-4
7.15,3.09594E-5,4.64391E-5,1.4587185E-4
7.25,1.54797E-5,1.54797E-5,1.06775326E-4
7.35,0.0,0.0,7.304396E-5
7.45,0.0,0.0,5.0693292E-5
7.55,0.0,0.0,2.3049073E-5
7.65,0.0,0.0,2.4567867E-6
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
