Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0031114197,0.007492175,0.0048809317
5.15,0.0016718076,0.004380755,0.0038939351
5.25,6.811068E-4,0.0027089475,0.003109936
5.35,4.953504E-4,0.0020278406,0.0024871833
5.45,3.560331E-4,0.0015324902,0.0019925132
5.55,1.393173E-4,0.0011764572,0.0015995828
5.65,1.083579E-4,0.0010371399,0.0012874672
5.75,4.64391E-5,9.28782E-4,0.0010395449
5.85,1.54797E-5,8.823429E-4,8.426132E-4
5.95,1.54797E-5,8.668632E-4,6.861848E-4
6.05,3.09594E-5,8.513835E-4,6.183035E-4
6.15,4.64391E-5,8.204241E-4,5.6438346E-4
6.25,9.28782E-5,7.73985E-4,5.5641535E-4
6.35,4.64391E-5,6.811068E-4,3.791523E-4
6.45,6.19188E-5,6.346677E-4,3.791523E-4
6.55,1.857564E-4,5.727489E-4,2.6893965E-4
6.65,7.73985E-5,3.869925E-4,2.6734034E-4
6.75,4.64391E-5,3.09594E-4,1.7954849E-4
6.85,1.857564E-4,2.6315489E-4,3.1294683E-5
6.95,6.19188E-5,7.73985E-5,2.7002805E-5
7.05,1.54797E-5,1.54797E-5,1.9301842E-5
7.15,0.0,0.0,1.0133934E-5
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
