Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.023095712,0.07123758,0.016212277
5.15,0.014163925,0.048141867,0.014245249
5.25,0.010108244,0.03397794,0.0126827825
5.35,0.0059132455,0.023869697,0.011441671
5.45,0.004272397,0.017956452,0.010455822
5.55,0.0026625083,0.013684055,0.009672734
5.65,0.0023529143,0.011021546,0.009050705
5.75,0.0016872872,0.008668632,0.008556609
5.85,0.0015170106,0.006981345,0.008164136
5.95,9.597414E-4,0.005464334,0.0077725328
6.05,6.19188E-4,0.0045045926,0.0064161806
6.15,6.501474E-4,0.0038854047,0.0063493885
6.25,4.953504E-4,0.0032352572,0.004073045
6.35,2.786346E-4,0.0027399068,0.0033665595
6.45,3.869925E-4,0.0024612723,0.002977862
6.55,3.869925E-4,0.0020742798,0.0025669117
6.65,5.417895E-4,0.0016872872,0.0021481211
6.75,3.560331E-4,0.0011454978,0.0017787821
6.85,2.321955E-4,7.894647E-4,7.818634E-4
6.95,1.702767E-4,5.572692E-4,6.8065576E-4
7.05,3.09594E-5,3.869925E-4,5.904655E-4
7.15,6.19188E-5,3.560331E-4,5.596979E-4
7.25,1.54797E-5,2.941143E-4,5.371651E-4
7.35,1.54797E-4,2.786346E-4,5.017624E-4
7.45,1.238376E-4,1.238376E-4,4.1276126E-4
7.55,0.0,0.0,3.4666134E-4
7.65,0.0,0.0,2.1377587E-4
7.75,0.0,0.0,2.0768453E-5
7.85,0.0,0.0,5.774941E-7
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
