Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,3.09594E-5,1.083579E-4,0.007572368
5.15,3.09594E-5,7.73985E-5,0.005813184
5.25,0.0,4.64391E-5,0.004415815
5.35,0.0,4.64391E-5,0.003305846
5.45,0.0,4.64391E-5,0.0024241656
5.55,3.09594E-5,4.64391E-5,0.0017238221
5.65,0.0,1.54797E-5,0.0011675195
5.75,0.0,1.54797E-5,7.2563265E-4
5.85,0.0,1.54797E-5,3.7462942E-4
5.95,0.0,1.54797E-5,9.5817675E-5
6.05,1.54797E-5,1.54797E-5,1.7504675E-5
6.15,0.0,0.0,1.7504675E-5
6.25,0.0,0.0,1.4200478E-5
6.35,0.0,0.0,1.33914255E-5
6.45,0.0,0.0,1.2676798E-5
6.55,0.0,0.0,1.2240381E-5
6.65,0.0,0.0,9.775883E-6
6.75,0.0,0.0,4.1739095E-6
6.85,0.0,0.0,1.2812885E-6
6.95,0.0,0.0,0.0
7.05,0.0,0.0,0.0
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
