Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0030340212,0.0050154226,0.00901156
5.15,6.501474E-4,0.0019814016,0.0070904936
5.25,4.334316E-4,0.0013312541,0.0055645364
5.35,2.321955E-4,8.978226E-4,0.004352425
5.45,1.083579E-4,6.6562707E-4,0.0033896114
5.55,1.083579E-4,5.572692E-4,0.0026248212
5.65,9.28782E-5,4.489113E-4,0.0020173267
5.75,7.73985E-5,3.560331E-4,0.0015347765
5.85,6.19188E-5,2.786346E-4,0.0011514734
5.95,0.0,2.167158E-4,8.470049E-4
6.05,0.0,2.167158E-4,6.05157E-4
6.15,1.54797E-5,2.167158E-4,4.1305032E-4
6.25,0.0,2.012361E-4,2.604546E-4
6.35,0.0,2.012361E-4,2.1197018E-4
6.45,1.54797E-5,2.012361E-4,1.7345762E-4
6.55,0.0,1.857564E-4,1.3076895E-4
6.65,0.0,1.857564E-4,1.3076895E-4
6.75,4.64391E-5,1.857564E-4,1.1970883E-4
6.85,0.0,1.393173E-4,1.04975436E-4
6.95,9.28782E-5,1.393173E-4,9.1550806E-5
7.05,3.09594E-5,4.64391E-5,7.44547E-5
7.15,0.0,1.54797E-5,6.195644E-5
7.25,1.54797E-5,1.54797E-5,3.9999024E-5
7.35,0.0,0.0,2.7310067E-5
7.45,0.0,0.0,1.8066125E-5
7.55,0.0,0.0,9.440789E-6
7.65,0.0,0.0,1.531443E-6
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
