Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,8.668632E-4,0.0025077113,0.012615435
5.15,5.108301E-4,0.0016408482,0.010079947
5.25,2.167158E-4,0.0011300182,0.008065938
5.35,2.012361E-4,9.133023E-4,0.006466154
5.45,9.28782E-5,7.120662E-4,0.0051954
5.55,1.083579E-4,6.19188E-4,0.004186005
5.65,4.64391E-5,5.108301E-4,0.0033842132
5.75,0.0,4.64391E-4,0.0027473276
5.85,3.09594E-5,4.64391E-4,0.0022414315
5.95,1.54797E-5,4.334316E-4,0.0018395837
6.05,3.09594E-5,4.179519E-4,5.930532E-4
6.15,4.64391E-5,3.869925E-4,3.6947237E-4
6.25,1.54797E-5,3.405534E-4,2.133114E-4
6.35,3.09594E-5,3.250737E-4,1.5377768E-4
6.45,7.73985E-5,2.941143E-4,1.15505005E-4
6.55,1.54797E-5,2.167158E-4,1.120027E-4
6.65,0.0,2.012361E-4,1.0407805E-4
6.75,7.73985E-5,2.012361E-4,1.0319413E-4
6.85,6.19188E-5,1.238376E-4,5.286529E-5
6.95,6.19188E-5,6.19188E-5,5.071514E-5
7.05,0.0,0.0,3.7367026E-5
7.15,0.0,0.0,1.8602304E-5
7.25,0.0,0.0,1.2860916E-5
7.35,0.0,0.0,1.1653162E-5
7.45,0.0,0.0,8.882846E-6
7.55,0.0,0.0,3.7804048E-6
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
