Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0035448512,0.014272284,0.02040893
5.15,0.0026160693,0.010727432,0.016249154
5.25,0.0018885233,0.008111362,0.012944926
5.35,0.0013467339,0.0062228395,0.010320284
5.45,0.001083579,0.0048761056,0.008235457
5.55,7.430256E-4,0.0037925264,0.00657942
5.65,5.727489E-4,0.003049501,0.0052639833
5.75,3.250737E-4,0.002476752,0.0042190948
5.85,3.09594E-4,0.0021516783,0.00338911
5.95,2.476752E-4,0.0018420843,0.0027298299
6.05,1.857564E-4,0.0015944091,0.0022061488
6.15,1.238376E-4,0.0014086526,0.0018211432
6.25,1.083579E-4,0.0012848151,0.0015628404
6.35,1.393173E-4,0.0011764572,0.0014275459
6.45,1.083579E-4,0.0010371399,3.2079066E-4
6.55,1.54797E-4,9.28782E-4,2.8149676E-4
6.65,1.54797E-4,7.73985E-4,2.53074E-4
6.75,3.09594E-5,6.19188E-4,9.8463446E-5
6.85,2.321955E-4,5.882286E-4,8.7889115E-5
6.95,1.238376E-4,3.560331E-4,8.0805934E-5
7.05,1.083579E-4,2.321955E-4,7.953361E-5
7.15,7.73985E-5,1.238376E-4,7.7054545E-5
7.25,1.54797E-5,4.64391E-5,6.062511E-5
7.35,1.54797E-5,3.09594E-5,4.6206707E-5
7.45,1.54797E-5,1.54797E-5,3.3561115E-5
7.55,0.0,0.0,1.0776913E-5
7.65,0.0,0.0,4.4666936E-6
7.75,0.0,0.0,3.0349208E-6
7.85,0.0,0.0,2.9209714E-6
7.95,0.0,0.0,4.5245847E-7
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
