Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0026934678,0.0064705145,0.021697206
5.15,0.0011609775,0.0037770467,0.01713464
5.25,8.823429E-4,0.0026160693,0.013510466
5.35,4.179519E-4,0.0017337264,0.010631681
5.45,2.321955E-4,0.0013157745,0.008344982
5.55,1.54797E-4,0.001083579,0.006528592
5.65,1.083579E-4,9.28782E-4,0.005085782
5.75,9.28782E-5,8.204241E-4,0.0039397175
5.85,9.28782E-5,7.275459E-4,0.003029366
5.95,4.64391E-5,6.346677E-4,0.0023062483
6.05,7.73985E-5,5.882286E-4,0.0017318553
6.15,4.64391E-5,5.108301E-4,0.0012755988
6.25,1.238376E-4,4.64391E-4,0.0011306318
6.35,7.73985E-5,3.405534E-4,0.0010154805
6.45,3.09594E-5,2.6315489E-4,3.921395E-4
6.55,3.09594E-5,2.321955E-4,3.921395E-4
6.65,0.0,2.012361E-4,2.7511467E-4
6.75,0.0,2.012361E-4,1.9288172E-4
6.85,1.54797E-5,2.012361E-4,1.2226155E-4
6.95,1.393173E-4,1.857564E-4,7.490516E-5
7.05,4.64391E-5,4.64391E-5,4.012802E-5
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
