Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.010650033,0.024039974,0.005316179
5.15,0.0052785776,0.01338994,0.0044693244
5.25,0.0027708663,0.008111362,0.003796644
5.35,0.0013157745,0.0053404965,0.003262315
5.45,0.001083579,0.004024722,0.0028378824
5.55,6.346677E-4,0.002941143,0.0025007436
5.65,4.179519E-4,0.0023064753,0.0022329446
5.75,2.012361E-4,0.0018885233,0.0020202245
5.85,1.857564E-4,0.0016872872,0.0018512548
5.95,1.238376E-4,0.0015015309,0.0017170374
6.05,6.19188E-5,0.0013776933,0.0016104395
6.15,1.54797E-5,0.0013157745,0.0015487769
6.25,0.0,0.0013002948,0.0015165046
6.35,4.64391E-5,0.0013002948,0.0014993128
6.45,3.09594E-5,0.0012538556,6.136148E-4
6.55,0.0,0.0012228963,6.11821E-4
6.65,3.09594E-5,0.0012228963,5.9848157E-4
6.75,1.702767E-4,0.0011919369,5.7846174E-4
6.85,2.6315489E-4,0.0010216602,5.376155E-4
6.95,4.179519E-4,7.585053E-4,5.026897E-4
7.05,2.786346E-4,3.405534E-4,3.9746345E-4
7.15,4.64391E-5,6.19188E-5,3.1635363E-4
7.25,1.54797E-5,1.54797E-5,1.6735715E-4
7.35,0.0,0.0,9.972957E-5
7.45,0.0,0.0,1.7598064E-5
7.55,0.0,0.0,1.0095233E-5
7.65,0.0,0.0,2.155737E-6
7.75,0.0,0.0,1.4348032E-6
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
