Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.01645492,0.03921008,0.018264297
5.15,0.0072599794,0.022755159,0.014634652
5.25,0.0051702196,0.015495179,0.011751522
5.35,0.0030030617,0.01032496,0.00946137
5.45,0.001857564,0.007321898,0.0076422384
5.55,0.0014396121,0.005464334,0.0061972504
5.65,7.585053E-4,0.004024722,0.005049456
5.75,7.120662E-4,0.0032662167,0.00413773
5.85,4.953504E-4,0.0025541505,0.0034135208
5.95,2.786346E-4,0.0020588,0.0028382607
6.05,1.702767E-4,0.0017801655,0.0026639085
6.15,1.083579E-4,0.0016098887,0.0017269402
6.25,1.857564E-4,0.0015015309,0.0017228657
6.35,2.476752E-4,0.0013157745,0.0013123275
6.45,7.73985E-5,0.0010680993,0.0013123275
6.55,1.702767E-4,9.907008E-4,0.0011549275
6.65,9.28782E-5,8.204241E-4,0.0010922722
6.75,7.73985E-5,7.275459E-4,8.856149E-4
6.85,4.024722E-4,6.501474E-4,7.20101E-4
6.95,2.321955E-4,2.476752E-4,5.2145496E-4
7.05,1.54797E-5,1.54797E-5,2.73777E-4
7.15,0.0,0.0,9.3633214E-5
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
