Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,8.978226E-4,0.00515474,0.011581
5.15,9.28782E-4,0.0042569176,0.009010057
5.25,0.0023374348,0.0033281355,0.006967885
5.35,3.869925E-4,9.907008E-4,0.00534573
5.45,1.54797E-4,6.037083E-4,0.0040572067
5.55,1.238376E-4,4.489113E-4,0.0030336962
5.65,7.73985E-5,3.250737E-4,0.0022206928
5.75,3.09594E-5,2.476752E-4,0.0015749013
5.85,1.54797E-5,2.167158E-4,0.0010619309
5.95,0.0,2.012361E-4,6.5446395E-4
6.05,0.0,2.012361E-4,3.827783E-4
6.15,0.0,2.012361E-4,1.6548306E-4
6.25,0.0,2.012361E-4,1.05659616E-4
6.35,1.54797E-5,2.012361E-4,7.3962954E-5
6.45,0.0,1.857564E-4,7.076305E-5
6.55,0.0,1.857564E-4,6.401447E-5
6.65,0.0,1.857564E-4,5.557577E-5
6.75,0.0,1.857564E-4,4.6394533E-5
6.85,3.09594E-5,1.857564E-4,4.200414E-5
6.95,3.09594E-5,1.54797E-4,3.689292E-5
7.05,1.54797E-5,1.238376E-4,3.2250264E-5
7.15,4.64391E-5,1.083579E-4,2.7747192E-5
7.25,0.0,6.19188E-5,2.5129804E-5
7.35,1.54797E-5,6.19188E-5,2.2672364E-5
7.45,1.54797E-5,4.64391E-5,2.0690879E-5
7.55,1.54797E-5,3.09594E-5,1.8896151E-5
7.65,1.54797E-5,1.54797E-5,1.6488639E-5
7.75,0.0,0.0,1.3515038E-5
7.85,0.0,0.0,7.869425E-6
7.95,0.0,0.0,2.207548E-6
8.05,0.0,0.0,9.421604E-7
8.15,0.0,0.0,3.3775845E-7
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
