Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.12495214,0.31846386,0.030179968
5.15,0.07414776,0.19351172,0.024210582
5.25,0.047321443,0.11936396,0.019468928
5.35,0.027693184,0.072042525,0.0157025
5.45,0.01602149,0.04434934,0.0127107175
5.55,0.009550975,0.02832785,0.010334262
5.65,0.0058513265,0.018776877,0.008446575
5.75,0.0034829325,0.012925549,0.0069471328
5.85,0.0024612723,0.009442617,0.0057560834
5.95,0.0011300182,0.006981345,0.004809999
6.05,7.430256E-4,0.0058513265,0.004183624
6.15,7.120662E-4,0.005108301,0.004004379
6.25,2.941143E-4,0.0043962346,0.0036430866
6.35,3.250737E-4,0.0041021206,0.0034768484
6.45,2.6315489E-4,0.0037770467,0.0034108458
6.55,1.54797E-4,0.003513892,0.003397144
6.65,1.702767E-4,0.003359095,0.0033656526
6.75,2.786346E-4,0.0031888182,0.0033321083
6.85,5.727489E-4,0.0029101835,0.003287325
6.95,3.250737E-4,0.0023374348,0.0031704037
7.05,4.953504E-4,0.002012361,0.0027180477
7.15,0.0011300182,0.0015170106,0.0025236614
7.25,3.560331E-4,3.869925E-4,0.0019781478
7.35,3.09594E-5,3.09594E-5,0.0014874318
7.45,0.0,0.0,0.0012167406
7.55,0.0,0.0,9.271161E-4
7.65,0.0,0.0,4.9044227E-4
7.75,0.0,0.0,8.005927E-6
7.85,0.0,0.0,6.1413903E-6
7.95,0.0,0.0,5.360805E-6
8.05,0.0,0.0,3.940478E-6
8.15,0.0,0.0,1.0457376E-6
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
