Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.16052449,0.49134114,0.33236915
5.15,0.10013818,0.33081666,0.26623955
5.25,0.061098374,0.23067848,0.21371092
5.35,0.043018088,0.16958012,0.17198588
5.45,0.028157575,0.12656203,0.13884248
5.55,0.018266046,0.09840445,0.112515494
5.65,0.011764572,0.08013841,0.09160304
5.75,0.009334259,0.06837384,0.07499104
5.85,0.009411657,0.059039574,0.06179125
5.95,0.0113775795,0.04962792,0.051309112
6.05,0.016346563,0.03825034,0.042987555
6.15,0.004798707,0.021903776,0.035601426
6.25,0.0037770467,0.017105069,0.029259762
6.35,0.0027089475,0.013328021,0.024615118
6.45,0.0035758107,0.010619074,0.01988999
6.55,0.0016872872,0.0070432634,0.014715224
6.65,7.73985E-4,0.005355976,0.008380002
6.75,0.0016718076,0.004581991,0.008186329
6.85,3.560331E-4,0.0029101835,0.008163131
6.95,1.393173E-4,0.0025541505,0.008107596
7.05,1.238376E-4,0.0024148333,0.007953422
7.15,2.786346E-4,0.0022909956,0.006418367
7.25,7.585053E-4,0.002012361,0.0060396553
7.35,2.786346E-4,0.0012538556,0.0052069114
7.45,6.19188E-5,9.752211E-4,0.0047680675
7.55,4.024722E-4,9.133023E-4,0.0041868133
7.65,2.476752E-4,5.108301E-4,0.0037238987
7.75,9.28782E-5,2.6315489E-4,0.0031093797
7.85,1.54797E-5,1.702767E-4,0.0028553563
7.95,1.54797E-4,1.54797E-4,0.0023641016
8.05,0.0,0.0,0.0019135074
8.15,0.0,0.0,0.0014175118
8.25,0.0,0.0,7.937497E-4
8.35,0.0,0.0,2.3926099E-4
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
