Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.030665286,0.07574217,0.023986857
5.15,0.020201009,0.045076884,0.0191963
5.25,0.010015366,0.024875877,0.015391024
5.35,0.005309537,0.014860512,0.012368386
5.45,0.002894704,0.009550975,0.009967419
5.55,0.0019194828,0.006656271,0.0080602635
5.65,0.0011609775,0.004736788,0.006545356
5.75,6.811068E-4,0.0035758107,0.005342022
5.85,4.489113E-4,0.002894704,0.00438618
5.95,2.786346E-4,0.0024457925,0.0032231905
6.05,1.702767E-4,0.002167158,0.0032231905
6.15,1.857564E-4,0.0019968813,0.0016822852
6.25,1.702767E-4,0.0018111249,0.0012470015
6.35,9.28782E-5,0.0016408482,0.0012470015
6.45,7.73985E-5,0.00154797,9.59203E-4
6.55,2.321955E-4,0.0014705715,8.895397E-4
6.65,2.476752E-4,0.001238376,7.5476983E-4
6.75,1.393173E-4,9.907008E-4,6.6176354E-4
6.85,2.476752E-4,8.513835E-4,5.9638376E-4
6.95,2.321955E-4,6.037083E-4,5.2911375E-4
7.05,1.857564E-4,3.715128E-4,4.4742847E-4
7.15,1.393173E-4,1.857564E-4,4.0102203E-4
7.25,4.64391E-5,4.64391E-5,3.597238E-4
7.35,0.0,0.0,2.6063225E-4
7.45,0.0,0.0,2.0645263E-4
7.55,0.0,0.0,6.876253E-5
7.65,0.0,0.0,1.3318822E-5
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
