Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.013049387,0.05507677,0.01436112
5.15,0.010665514,0.042027384,0.011328154
5.25,0.006965865,0.03136187,0.008918984
5.35,0.0053869355,0.024396008,0.0070053125
5.45,0.0031578587,0.019009072,0.005485229
5.55,0.0029566227,0.015851213,0.004277784
5.65,0.005572692,0.01289459,0.0033186758
5.75,0.0017337264,0.007321898,0.0025568295
5.85,0.0014550918,0.0055881715,0.0019516733
5.95,9.133023E-4,0.0041330797,0.0014709807
6.05,6.811068E-4,0.0032197775,0.001089153
6.15,4.489113E-4,0.0025386708,8.23109E-4
6.25,2.476752E-4,0.0020897596,6.245442E-4
6.35,1.54797E-4,0.0018420843,5.621598E-4
6.45,1.857564E-4,0.0016872872,5.191452E-4
6.55,2.321955E-4,0.0015015309,5.178994E-4
6.65,1.702767E-4,0.0012693354,5.173958E-4
6.75,1.54797E-4,0.0010990587,5.1682704E-4
6.85,1.083579E-4,9.442617E-4,5.1651325E-4
6.95,3.09594E-5,8.359038E-4,5.1619933E-4
7.05,1.54797E-5,8.049444E-4,5.158904E-4
7.15,3.09594E-5,7.894647E-4,5.155368E-4
7.25,1.54797E-5,7.585053E-4,5.1514397E-4
7.35,6.19188E-5,7.430256E-4,5.1467656E-4
7.45,1.702767E-4,6.811068E-4,5.1413605E-4
7.55,3.715128E-4,5.108301E-4,5.1334174E-4
7.65,7.73985E-5,1.393173E-4,5.117482E-4
7.75,4.64391E-5,6.19188E-5,5.0594157E-4
7.85,1.54797E-5,1.54797E-5,4.8276916E-4
7.95,0.0,0.0,3.825131E-4
8.05,0.0,0.0,2.8293362E-4
8.15,0.0,0.0,1.7675551E-4
8.25,0.0,0.0,8.334442E-5
8.35,0.0,0.0,2.900736E-5
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
