Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.0031733385,0.009427138,0.006142113
5.15,0.0018885233,0.006253799,0.0049114604
5.25,0.0014860512,0.004365275,0.0039339187
5.35,8.204241E-4,0.0028792243,0.0031574294
5.45,5.2630977E-4,0.0020588,0.0025406422
5.55,3.869925E-4,0.0015324902,0.0020507106
5.65,2.6315489E-4,0.0011454978,0.0016615442
5.75,4.64391E-5,8.823429E-4,0.0013524183
5.85,3.09594E-5,8.359038E-4,0.0011068708
5.95,1.393173E-4,8.049444E-4,9.118256E-4
6.05,1.857564E-4,6.6562707E-4,7.7464787E-4
6.15,9.28782E-5,4.798707E-4,6.678747E-4
6.25,3.09594E-5,3.869925E-4,6.18929E-4
6.35,4.64391E-5,3.560331E-4,5.902831E-4
6.45,7.73985E-5,3.09594E-4,2.4536523E-4
6.55,3.09594E-5,2.321955E-4,2.3989154E-4
6.65,1.54797E-5,2.012361E-4,1.7909297E-4
6.75,1.54797E-5,1.857564E-4,1.5205398E-4
6.85,1.54797E-5,1.702767E-4,1.4382794E-4
6.95,4.64391E-5,1.54797E-4,1.0078125E-4
7.05,4.64391E-5,1.083579E-4,7.996456E-5
7.15,0.0,6.19188E-5,6.8034096E-5
7.25,1.54797E-5,6.19188E-5,5.2270472E-5
7.35,0.0,4.64391E-5,3.9323055E-5
7.45,0.0,4.64391E-5,3.0267996E-5
7.55,1.54797E-5,4.64391E-5,2.1635786E-5
7.65,3.09594E-5,3.09594E-5,1.3208056E-5
7.75,0.0,0.0,5.6010153E-6
7.85,0.0,0.0,1.8033165E-6
7.95,0.0,0.0,1.1387228E-6
8.05,0.0,0.0,4.6348643E-7
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
