Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,4.64391E-5,2.012361E-4,0.0055698776
5.15,9.28782E-5,1.54797E-4,0.004374959
5.25,1.54797E-5,6.19188E-5,0.0034258012
5.35,1.54797E-5,4.64391E-5,0.0026718585
5.45,0.0,3.09594E-5,0.0020729804
5.55,0.0,3.09594E-5,0.0015972747
5.65,0.0,3.09594E-5,0.0012194082
5.75,0.0,3.09594E-5,9.192582E-4
5.85,1.54797E-5,3.09594E-5,6.808406E-4
5.95,1.54797E-5,1.54797E-5,4.914587E-4
6.05,0.0,0.0,3.4776068E-4
6.15,0.0,0.0,2.4148129E-4
6.25,0.0,0.0,1.6454907E-4
6.35,0.0,0.0,1.1657311E-4
6.45,0.0,0.0,7.92254E-5
6.55,0.0,0.0,5.6200817E-5
6.65,0.0,0.0,3.821032E-5
6.75,0.0,0.0,2.3683464E-5
6.85,0.0,0.0,1.4625135E-5
6.95,0.0,0.0,7.5082435E-6
7.05,0.0,0.0,4.7757267E-6
7.15,0.0,0.0,3.1431255E-6
7.25,0.0,0.0,2.8204786E-6
7.35,0.0,0.0,2.5347852E-6
7.45,0.0,0.0,2.2447027E-6
7.55,0.0,0.0,1.7302104E-6
7.65,0.0,0.0,1.0611805E-6
7.75,0.0,0.0,5.6855947E-7
7.85,0.0,0.0,3.800911E-7
7.95,0.0,0.0,2.602545E-10
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
