Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,6.19188E-5,1.54797E-4,0.0034337733
5.15,4.64391E-5,9.28782E-5,0.0026867795
5.25,0.0,4.64391E-5,0.002093421
5.35,1.54797E-5,4.64391E-5,0.0016220995
5.45,0.0,3.09594E-5,0.0012477157
5.55,0.0,3.09594E-5,9.5033203E-4
5.65,0.0,3.09594E-5,7.141118E-4
5.75,0.0,3.09594E-5,5.2647537E-4
5.85,0.0,3.09594E-5,3.774305E-4
5.95,0.0,3.09594E-5,2.5903992E-4
6.05,0.0,3.09594E-5,1.9132199E-4
6.15,0.0,3.09594E-5,1.3753181E-4
6.25,0.0,3.09594E-5,1.0046851E-4
6.35,0.0,3.09594E-5,7.19745E-5
6.45,0.0,3.09594E-5,4.9779603E-5
6.55,0.0,3.09594E-5,3.3652133E-5
6.65,0.0,3.09594E-5,2.084163E-5
6.75,1.54797E-5,3.09594E-5,1.0665886E-5
6.85,0.0,1.54797E-5,6.87082E-6
6.95,1.54797E-5,1.54797E-5,3.8562916E-6
7.05,0.0,0.0,3.3634926E-6
7.15,0.0,0.0,2.9549694E-6
7.25,0.0,0.0,2.7838794E-6
7.35,0.0,0.0,2.5904276E-6
7.45,0.0,0.0,2.2459362E-6
7.55,0.0,0.0,1.7711826E-6
7.65,0.0,0.0,1.3666735E-6
7.75,0.0,0.0,9.084191E-7
7.85,0.0,0.0,1.8042178E-7
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
