Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.010046326,0.019798536,0.0116657205
5.15,0.002987582,0.009752211,0.009337409
5.25,0.0023838738,0.006764629,0.0074879667
5.35,0.00154797,0.004380755,0.006018902
5.45,8.359038E-4,0.002832785,0.0048519825
5.55,4.334316E-4,0.0019968813,0.0039250655
5.65,5.2630977E-4,0.0015634497,0.003188789
5.75,2.941143E-4,0.0010371399,0.0026039437
5.85,1.393173E-4,7.430256E-4,0.0021393849
5.95,6.19188E-5,6.037083E-4,0.0017703724
6.05,3.09594E-5,5.417895E-4,0.0014772555
6.15,4.64391E-5,5.108301E-4,0.0012444244
6.25,1.54797E-5,4.64391E-4,0.0010594801
6.35,1.54797E-5,4.489113E-4,9.1257365E-4
6.45,1.54797E-5,4.334316E-4,8.4680744E-4
6.55,0.0,4.179519E-4,5.556889E-4
6.65,1.54797E-5,4.179519E-4,5.3905975E-4
6.75,1.54797E-4,4.024722E-4,3.7940947E-4
6.85,1.54797E-5,2.476752E-4,3.757922E-4
6.95,9.28782E-5,2.321955E-4,2.9662627E-4
7.05,1.393173E-4,1.393173E-4,2.6420495E-4
7.15,0.0,0.0,1.04364844E-4
7.25,0.0,0.0,6.1083796E-5
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
