Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,0.005619131,0.01445804,0.00989586
5.15,0.0022755158,0.008838909,0.007788103
5.25,0.0018420843,0.006563393,0.006113852
5.35,0.0013312541,0.0047213086,0.004783947
5.45,0.0013312541,0.0033900542,0.0037275658
5.55,7.585053E-4,0.0020588,0.0028884525
5.65,3.405534E-4,0.0013002948,0.0022219212
5.75,3.250737E-4,9.597414E-4,0.0016924764
5.85,1.702767E-4,6.346677E-4,0.0012719235
5.95,1.54797E-5,4.64391E-4,9.378665E-4
6.05,3.09594E-5,4.489113E-4,6.740433E-4
6.15,1.54797E-5,4.179519E-4,4.705108E-4
6.25,4.64391E-5,4.024722E-4,3.2025657E-4
6.35,6.19188E-5,3.560331E-4,2.5565186E-4
6.45,1.083579E-4,2.941143E-4,2.1306207E-4
6.55,0.0,1.857564E-4,1.8693497E-4
6.65,3.09594E-5,1.857564E-4,1.8292342E-4
6.75,0.0,1.54797E-4,1.7805884E-4
6.85,6.19188E-5,1.54797E-4,1.6544222E-4
6.95,4.64391E-5,9.28782E-5,1.6007895E-4
7.05,1.54797E-5,4.64391E-5,1.4941343E-4
7.15,1.54797E-5,3.09594E-5,1.4221383E-4
7.25,1.54797E-5,1.54797E-5,1.3309703E-4
7.35,0.0,0.0,1.18759825E-4
7.45,0.0,0.0,1.05238585E-4
7.55,0.0,0.0,8.011886E-5
7.65,0.0,0.0,4.5831734E-5
7.75,0.0,0.0,1.24217495E-5
7.85,0.0,0.0,6.991907E-6
7.95,0.0,0.0,1.7607248E-6
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
