Magnitude,Incremental Rate,Cumulative Rate,UCERF3 Cumulative Rate
5.05,1.54797E-5,1.083579E-4,0.0065788575
5.15,1.54797E-5,9.28782E-5,0.0050529637
5.25,1.54797E-5,7.73985E-5,0.0038409035
5.35,0.0,6.19188E-5,0.00287813
5.45,0.0,6.19188E-5,0.0021133714
5.55,0.0,6.19188E-5,0.0015059023
5.65,0.0,6.19188E-5,0.0010233724
5.75,0.0,6.19188E-5,6.400852E-4
5.85,0.0,6.19188E-5,3.3562942E-4
5.95,4.64391E-5,6.19188E-5,9.3791576E-5
6.05,1.54797E-5,1.54797E-5,1.4170889E-5
6.15,0.0,0.0,1.4170889E-5
6.25,0.0,0.0,9.357606E-6
6.35,0.0,0.0,7.9265565E-6
6.45,0.0,0.0,7.829856E-6
6.55,0.0,0.0,6.7886294E-6
6.65,0.0,0.0,3.8220455E-6
6.75,0.0,0.0,1.7292783E-6
6.85,0.0,0.0,3.5440533E-7
6.95,0.0,0.0,0.0
7.05,0.0,0.0,0.0
7.15,0.0,0.0,0.0
7.25,0.0,0.0,0.0
7.35,0.0,0.0,0.0
7.45,0.0,0.0,0.0
7.55,0.0,0.0,0.0
7.65,0.0,0.0,0.0
7.75,0.0,0.0,0.0
7.85,0.0,0.0,0.0
7.95,0.0,0.0,0.0
8.05,0.0,0.0,0.0
8.15,0.0,0.0,0.0
8.25,0.0,0.0,0.0
8.35,0.0,0.0,0.0
8.45,0.0,0.0,0.0
8.55,0.0,0.0,0.0
8.65,0.0,0.0,0.0
8.75,0.0,0.0,0.0
8.85,0.0,0.0,0.0
8.95,0.0,0.0,0.0
9.05,0.0,0.0,0.0
